"","2014_ZellerG_Mean","2015_FengQ_Mean","2016_VogtmannE_Mean","2019_Thom_Mean","2019_WirbelJ_Mean","2019_Yachida_Mean","2021_JunY_1_Mean","2021_JunY_2_Mean","2014_ZellerG_Rank","2015_FengQ_Rank","2016_VogtmannE_Rank","2019_Thom_Rank","2019_WirbelJ_Rank","2019_Yachida_Rank","2021_JunY_1_Rank","2021_JunY_2_Rank","Rank3","Rank5","Rank10"
"Bifidobacterium_pseudocatenulatum",38.3835665229569,44.3551291937221,27.8249986824618,14.5324623376642,11.8589057413974,15.3055553468192,24.218890575438,8.67795910821969,30,16,53,58,57,45,54,56,"Ign","Ign","Ign"
"Streptococcus_equinus",79.7357944467072,5.74802682885751,34.1522936881661,26.9575349760973,11.8245637841159,16.3649958889729,40.6021251115413,15.6649182603433,5,63,45,36,58,38,37,37,"Ign","Sel","Sel"
"Streptococcus_milleri",25.6311331669684,22.5860672295298,81.1012711172254,66.9021800012809,26.8651711525635,28.4923269339464,21.8854242273749,14.7409636972863,46,42,8,5,17,11,57,40,"Ign","Sel","Sel"
"Bifidobacterium_bifidum",25.3851148475461,39.8969439332071,49.7099109389226,28.687327228291,11.5161209681011,14.7645379028107,46.3837936373959,8.61588072421023,47,21,29,32,59,47,32,57,"Ign","Ign","Ign"
"Prevotella_intermedia",10.0329425094272,88.3374336910197,45.9627809815146,22.2056585192614,24.3515671193451,21.8424005571754,73.6620437291491,7.81746276677226,63,4,35,43,20,24,9,59,"Ign","Sel","Sel"
"Streptococcus_thermophilus",18.2976660851138,81.1584507450581,50.4112028221351,46.0323426105094,13.6453852262443,19.4366234303392,25.3730123925594,16.2743249819907,58,6,28,15,52,31,53,34,"Ign","Ign","Sel"
"Bifidobacterium_adolescentis",23.557705581326,22.4872238225941,40.723071862002,9.88912767286786,26.1081570754372,11.1134657608661,27.8130292002805,29.1452307063384,50,44,39,62,18,56,50,10,"Ign","Ign","Sel"
"Adlercreutzia_equolifaciens",22.9169395513827,12.997474848776,62.3699897023954,9.14832677514064,14.9221423620562,15.541863452101,15.7652711187854,16.9526994887211,51,56,17,63,48,44,62,31,"Ign","Ign","Ign"
"Ruminococcus_bicirculans",22.623087339926,38.17049156591,41.2504291654319,35.5354244685885,29.0824635699218,26.8907882975628,38.1468030366003,2.76655589553509,53,26,38,24,14,16,40,63,"Ign","Ign","Ign"
"Bifidobacterium_longum",18.2493009736687,17.9431860874207,29.0554892668363,17.331719499093,17.8751121606123,15.5920011515244,47.7676794948812,16.7778676879656,59,48,50,54,38,42,28,32,"Ign","Ign","Ign"
"Escherichia_coli",14.7594033840318,26.2357445068047,29.6737727532287,51.7455930387892,23.2036360931196,6.64172515790599,14.5546334455632,15.7189707827817,62,37,49,9,23,63,63,36,"Ign","Ign","Sel"
