"","N.count","P.count","Missing","pvalue","2014_ZellerG-Median","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-p-value","2016_VogtmannE-Median","2016_VogtmannE-p-value","2019_Thom-Median","2019_Thom-p-value","2019_WirbelJ-Median","2019_WirbelJ-p-value","2019_Yachida-Median","2019_Yachida-p-value","2021_JunY_1-Median","2021_JunY_1-p-value","2021_JunY_2-Median","2021_JunY_2-p-value"
"Piloderma croceum",5,3,0,7,-0.274540761292974,1.14831012521367e-30,0.0189877009366866,0.561424544765638,0.0778556471937002,0.0212639007701202,-0.116410447551896,0.000494543165866326,-1.17682202185391,3.55601981796913e-90,-0.123548516188074,3.80596420384767e-70,0.556275310987533,1.683995551147e-51,-0.0351409159199821,0.0281127243988024
"Fibularhizoctonia sp. CBS 109695",5,3,0,7,-0.0620614783887658,0.0032711880977705,0.094323145620685,0.0208960392005438,-0.176882946891539,5.11237563931876e-13,0.0328379456102774,0.256488716287215,-0.815759030486439,1.27235247188929e-51,0.215606899916921,1.52915299061201e-215,-0.471297282560066,1.24706445623571e-69,-0.0425663992362401,0.00456730116969191
"Serpula lacrymans",3,5,0,7,0.416521213369048,4.01727906567068e-11,4.04358967110768,1.24755079137798e-32,-3.55120265393556,2.81195236983909e-28,0.0965900148244642,0.740691668294949,-3.32192809488736,2.98460307797608e-06,0.10606231327699,0.0153869045274253,0.532733488189698,1.05913829979541e-09,-0.493370247320243,6.08584012816939e-42
"Coniophora puteana",5,3,0,6,0.185387070240082,6.02853355040622e-15,-0.357958344113604,1.01257337085102e-28,-0.0349679855552432,0.190355547113958,0.0385884465067595,0.241923134319269,-0.605845720636626,9.58825350797761e-27,0.359290957691321,0,-0.312011117737186,5.03281072148653e-28,-0.105203134302847,1.40646175636702e-10
"Hydnomerulius pinastri",6,2,0,6,-0.298429768634787,9.72424537075014e-26,-0.0271862897213998,0.691364643290735,-0.294606174430867,1.33203569377793e-13,0.453544984661607,3.07359541567782e-30,-1.14041059772191,3.99882774375068e-39,0.0938730417462283,1.68965021090327e-22,-0.374653327103979,9.53342031137849e-38,-0.0244125010551458,0.15838105613559
"Paxillus involutus",6,2,0,8,-0.199925548109875,2.99083937166969e-14,-0.271629291822827,1.17317585657911e-14,0.121457264952593,9.39091120572347e-05,-0.188734014670466,8.14846349015252e-07,-0.92776296467153,2.74774642084326e-27,0.133745071904097,5.659533945286e-42,-0.393917190909873,2.78151388676291e-45,-0.302618111702762,5.61870019386561e-55
"Paxillus rubicundulus",3,5,0,7,0.167710033587076,1.44317385907793e-14,0.177165716553223,2.13084997882319e-07,0.0492119222858218,0.0957882651456431,0.454769482675528,2.16478269369485e-35,-0.30252149580518,2.27918622347377e-08,0.130719364705871,8.33662417926962e-62,-0.376577584730681,9.25469274091877e-42,-0.172793435976046,2.28858289331419e-33
"Pisolithus tinctorius",5,3,0,7,0.107821166267356,1.71251158839635e-06,-0.161963491056759,5.07831711985345e-09,-0.186297813479537,8.5719772922039e-10,0.18119002104891,2.52144316333764e-08,-1.08525799380578,2.33772881179597e-65,0.455993695239798,0,-0.0606870813455864,0.0788290654422699,-0.493189287163527,7.29848060364621e-189
"Pisolithus microcarpus",6,2,0,7,-0.113423373341529,4.48577720024762e-05,0.136682047507998,0.000102359575667834,-0.00667703322441731,0.847805867102921,-0.167137559949742,3.69083382291436e-07,-1.16875381024325,4.12185000601622e-65,0.0698684057381071,1.15681352897269e-15,-0.362665118845975,1.42954696757474e-33,-0.0445828320378804,0.00621697381338716
"Scleroderma citrinum",5,3,0,7,-0.378155701247346,6.8074223187179e-60,-0.549459345922102,1.35546732015962e-89,0.0528934325907533,0.0656702865648393,0.137953415698329,5.59946845619052e-06,-0.873449288878186,1.66246960638323e-34,0.266739800130197,2.11821424946761e-175,-0.263886788021327,1.48101125943167e-20,-0.300206791963539,1.00643027740787e-69
"Suillus luteus",3,5,0,7,0.0149760304423738,0.515343295116651,0.124441321657331,0.000239526919788208,0.308755880473977,9.96957227154063e-19,0.349745590947988,2.55422692495737e-19,-1.42946118469812,9.42693919711215e-97,0.184828580354485,6.64770640274554e-107,-0.544929428307704,1.52061652195507e-74,-0.0875189602717303,8.6058677989327e-06
"Rhizopogon vinicolor",3,5,0,7,0.0986784908317307,0.00268726886922656,0.270976188870474,1.0182340426933e-08,-0.297889722533027,2.60617902170878e-11,0.454641860165196,3.92026345908152e-19,-1.17252392657391,3.76142538187662e-42,0.639612989241382,0,0.0572107403197835,0.0673828934164944,-0.132237129966835,4.37366251484252e-10
"Rhizopogon vesiculosus",7,1,0,7,-0.648059514393171,3.50751863653686e-82,-0.0722244766911345,0.202593878528818,-0.482933324241679,9.21157397468772e-22,0.117496492881124,0.0297031548874499,-1.94749153588948,8.02063901264224e-73,-0.183361250275536,1.38459856112091e-57,-0.541548481419422,5.90974453135475e-53,-0.727288153010343,1.81846974765518e-285
"Schizophyllum commune",5,3,0,8,0.318056024728964,4.15697252746857e-32,-0.222669360243266,3.33339655812575e-11,-0.195777737113994,4.98442876194863e-11,0.272750937004659,8.1194935584963e-15,-0.707971429443389,1.9052660924914e-28,0.0812509510152413,1.13793268356181e-19,-0.540783786588358,5.72005303163242e-72,-0.191910442005457,5.38353557430485e-35
"Amanita muscaria",6,2,0,7,-0.576879807555243,4.28809120135408e-69,-0.707794091515383,3.04084901232162e-61,-0.0306387870379242,0.457715084624413,0.251067684735077,3.0282984190227e-05,-1.31935744788007,8.53611604131983e-98,0.104399770439158,1.2334101707198e-19,-0.513411054842187,1.44667498462112e-69,-0.7137377881807,3.10803795075935e-283
"Amanita thiersii",5,3,0,8,-0.264941559753589,2.83743624759674e-43,0.110551960965952,0.0017050184831195,-0.426187993694034,1.18806751763866e-48,0.110292767028971,0.00145658935441439,-1.07675123351912,2.01362932402708e-100,0.0308453784892325,0.00226566953747487,-0.21119481331741,7.46283418201002e-16,-0.337766619612819,4.32956816525517e-79
"Hebeloma cylindrosporum",6,2,0,7,0.0970073711831186,0.000416810745596021,-0.041778935182858,0.285597454870175,-0.183191224183037,1.37099455552355e-05,-0.104206677579728,0.00790104175555113,-1.01198045878666,3.53353867430396e-36,0.134031459282637,1.01563465468478e-57,-0.666155979059996,1.11894699878873e-129,-0.404248755601033,1.70483421357954e-141
"Fistulina hepatica",8,0,0,7,-0.333157985892958,7.3280345171646e-37,-0.0970537186261055,0.0158248243828529,-0.110293274443575,0.00209778784660053,-0.021082619075371,0.509552115869383,-1.34869165662014,3.17032228142636e-87,-0.0702696210808163,1.05621478248373e-18,-0.497112075550193,1.19819976065519e-69,-0.204563009514428,7.14906953552259e-31
"Laccaria bicolor",3,5,0,8,0.0509683055526395,0.0154604748034909,0.202653670870253,2.54908836390027e-08,0.342500576306373,4.39261026734033e-27,0.387974235261283,1.57962552794371e-29,-0.434054327930334,1.08557763248849e-17,0.199874801351309,4.57553465288093e-135,-0.116533110714863,1.58984963802308e-05,-0.144477266728095,8.10633767086027e-19
"Laccaria amethystina",4,4,0,7,-0.254103093404908,1.04904679447681e-26,0.247315233389522,2.87763597736966e-07,0.0106895953269255,0.766806038094559,0.122568263542317,0.00573785937563013,-0.67747035010483,1.08448364376542e-23,0.225883698639885,4.0824585236157e-123,-0.353941613986983,5.63770761132948e-34,-0.366243341983586,3.04650867088214e-81
"Pleurotus ostreatus",7,1,0,7,-0.0405327070694871,0.113369421148516,-0.419342928192389,2.95863830137168e-27,-0.113968085666934,5.19898401217126e-05,0.27574357602923,1.50490735025409e-11,-0.940933977394866,3.00015964065785e-53,-0.0166911572107676,0.0389816103176374,-0.591502712798623,2.00477966899185e-87,-0.706689123430932,8.15216389814252e-275
"Coprinopsis cinerea",5,3,0,7,0.0181589822506938,0.495982989058303,0.236582515542038,1.52789817492588e-10,-0.0928400795747511,0.00726575862395878,0.0793692050747853,0.0137081136567844,-1.03283947005594,1.67561108443029e-76,-0.0874744279021653,8.67456877743984e-20,-0.0896029176119878,0.0008661203749547,-0.172204927432002,1.9605286978214e-21
"Moniliophthora perniciosa",2,6,0,8,1.07042251268046,3.99290369746445e-239,0.210370849922012,3.77591866019377e-07,1.0101397598117,5.20963747320779e-115,0.789357328411891,3.15242334092121e-40,-1.17530256767843,2.63332606029844e-55,1.05511082852854,0,0.657281855477033,1.30389864178082e-85,-0.18593715998246,2.72500321213531e-22
"Moniliophthora roreri",6,2,0,8,-0.267964432744867,1.61555295456145e-38,-0.114636064386006,0.000239236532147688,-0.124030121672866,1.01174848380588e-05,0.140616580196962,4.48296640749249e-05,-0.953267364701307,4.86825931938715e-68,0.222918644623206,1.63924969619598e-246,-0.409483682082428,4.00357132849343e-51,-0.711851167698018,0
"Hypsizygus marmoreus",5,3,0,7,0.0906008423616863,0.000798592087665052,-0.186776182849487,3.24601406943474e-08,0.00481775150696806,0.902235296694903,0.404357372443834,4.87562161022358e-23,-0.695379645275661,4.15693146906367e-31,-0.148082663361577,7.30378698215124e-185,-0.321549720530838,1.35386354473357e-23,-0.389532024987688,2.43166186746151e-83
"Termitomyces sp. J132",5,3,0,7,-0.372466601629964,1.65752544894586e-81,0.00762416145284451,0.796503547532078,-0.210371106112775,1.40745237489059e-14,0.133820873535934,0.000112546370694375,-1.35745109575465,8.78093034160092e-97,0.164722540839608,8.22396947037257e-109,-0.482833941302886,5.47788072778263e-83,-0.270840886399485,1.1410495259959e-62
"Gymnopus luxurians",6,2,0,8,-0.141703751282183,2.43019060845092e-11,-0.369381161266132,7.82020740866413e-36,-0.374449285006927,7.91781783331246e-35,0.270744414598756,8.83164066587889e-16,-0.843476908936106,2.37034433469718e-46,0.0361344030988013,4.90865874089241e-07,-0.366799024231032,4.16913986548544e-43,-0.426344725679295,5.87001614125597e-185
"Lentinula edodes",6,2,0,7,-0.419240952572314,1.58135329520832e-81,-0.348893432246391,1.44467255122467e-26,-0.0360839656591246,0.193073544948772,-0.213271591737524,6.18350898077192e-11,-1.10801165171725,3.46874899690501e-60,-0.087873533819948,1.23661835107052e-30,0.125534330912652,6.82075999327694e-15,0.156357061542641,2.26296552986528e-36
"Cylindrobasidium torrendii",5,3,0,8,-0.284383850325965,2.72864508131995e-27,-0.337957232922807,8.97310104025258e-14,0.139265361804309,7.03966716046426e-06,0.100693560043526,0.00112553487790354,-1.02631983361548,3.36984291239404e-66,0.196660487522235,2.40404810467605e-90,-0.130175289212008,2.6062244209459e-05,-0.396124036341462,1.1509486947557e-104
"Armillaria solidipes",5,3,0,7,0.0736033038562479,0.0194959238546907,-0.133790346046259,0.00346433726789171,0.0891095178666739,0.077632011535809,-0.513836764655206,7.06086689114758e-24,-0.372822359045981,0.000562515707543058,0.0625500180564778,2.73395341084682e-13,-0.3447900181522,3.50448961219337e-38,-0.0770214842241201,3.14942225156679e-05
"Armillaria ostoyae",5,3,0,6,-0.0746182422159837,0.0207248976732226,0.166161529142029,1.86068411023912e-05,0.00557033302146796,0.903102741127296,-0.0424201830086246,0.333610933504535,-1.19126869595599,3.79599460634576e-64,0.053937474154017,1.65149360384852e-05,-0.404255312757691,1.26779266844078e-36,-0.324685091243066,1.31592320777401e-70
"Armillaria gallica",6,2,0,7,-0.281203284815993,4.34025379558497e-37,-0.213066912497108,2.52922201639823e-14,-0.0236224763434923,0.319382238586078,0.271337231146424,1.37556388359842e-24,-0.804671407317437,2.56971863997484e-29,0.180468511989398,2.66409060941924e-122,-0.278252770113907,2.05606965280441e-26,-0.0484597754757938,0.000959999849345196
"Hypholoma sublateritium",3,5,0,8,0.244471896472539,8.22695500602899e-37,0.339005672347894,5.43730344314347e-25,0.115182397005955,1.14604754867316e-05,0.24269817687331,1.24336510758687e-14,-1.28101344629014,1.35094781969859e-103,0.130372480628431,1.06355885699862e-53,-0.430393172519867,6.06184033059462e-54,-0.267843582191904,5.41729758986669e-66
"Galerina marginata",7,1,0,7,-0.170245237251791,2.3252353729554e-14,-0.224669424587132,7.38394350948001e-12,-0.18161690644845,1.51771445914132e-10,-0.175862684377963,1.30570563404708e-08,-0.748225647069828,8.94688124398516e-32,-0.0222533255545247,0.00628510403465705,-0.497020877506583,3.87557508738607e-62,0.0103902148740722,0.532285648852603
"Agaricus bisporus",6,2,0,8,-0.302338099539054,1.03079383599977e-21,-0.257189425600858,2.82827338889077e-08,-0.186780295811475,2.15654891998043e-05,0.727638164611433,3.78626954157188e-56,-0.553243841005879,3.90132654881984e-20,0.175468021263543,2.13997442151517e-52,-0.598834631503146,4.92393865632063e-79,-0.311627451795456,2.90081251502432e-60
"Leucoagaricus sp. SymC.cos",7,1,0,8,-0.58352130305466,2.42177242415485e-166,-0.506582761973263,5.56073117970409e-51,-0.258261082974602,3.41712586372173e-29,-0.12185498482718,2.34967193879892e-05,-1.15588342777081,8.65224472051119e-103,0.229285032371498,8.64652307022827e-277,-0.508831111932848,3.63890754419663e-95,-0.65613614300881,0
"Protomyces lactucaedebilis",5,3,0,7,0.259855688766449,2.42941712429801e-07,1.03359462255201,4.32242032328629e-51,-0.0701865664341166,0.265513397551646,-0.18092833448842,0.0259037723124868,-1.34841041903827,4.35600466869551e-31,0.0817731992744788,0.000296604635715722,-0.0927709427448992,0.04040604315257,-0.511095657728356,5.53571259463297e-48
"Neolecta irregularis",6,2,0,6,-0.598086636182194,8.66119101620136e-75,-0.0226958257958069,0.656157740185026,-0.00946866065827995,0.817272877183587,0.273256635317222,4.15352497460411e-05,-1.66145198104018,1.027868258552e-76,0.232455597466675,2.38661733877282e-75,-0.779693485523744,6.92542682615855e-148,-0.516651791751416,2.73093516887052e-132
"Saitoella complicata",3,5,0,7,-0.860146281684567,3.36825195282585e-104,0.294117328348411,2.789319943435e-07,-0.274607098493339,2.09139051380366e-11,0.859607115683222,4.02569643571335e-44,-0.191572827033539,0.0558743066236453,0.555585154913527,0,0.0490144075216493,0.0280131161114889,0.48091412541269,1.36904403249847e-165
"Schizosaccharomyces pombe",6,2,0,7,-0.867363936746154,1.85874092180885e-207,-0.597023450251713,8.82492137012217e-53,-0.205561457383391,2.93397410822265e-08,0.0309246277199631,0.521329371095352,-1.23078040701584,1.89828827028698e-84,0.150367806273383,5.55815745236815e-48,-0.587475901365945,1.79231193202034e-110,-0.552237221052467,1.01078393260298e-202
"Pneumocystis jirovecii",5,3,0,8,-0.169087951370657,0.000332173535611254,-0.39894961165103,3.47697650653553e-08,-0.178989492253545,0.0076887982596302,1.11248622465449,1.59592575727675e-24,-3.0272215261595,2.9987121174831e-63,0.182570751135803,5.9866891013554e-22,1.06994157563827,2.53551987586516e-136,-0.320797519404885,7.59695958023063e-18
"Pneumocystis murina",6,2,0,8,-1.23003914144385,3.40770336016782e-289,-0.113669800876397,0.00243221470590133,-0.500742270107928,6.7534569506988e-34,0.393473508109115,6.21040796331817e-07,-1.79504364507457,2.5717076996297e-63,0.0979042757162006,6.71745377990475e-13,-0.937379768362345,1.34787513481282e-206,-0.732138652721027,2.06692078074173e-266
"Pneumocystis carinii",5,3,0,8,-1.10158558143726,8.40447683780328e-224,0.0991484420381478,0.0374996563597814,-0.244793001518434,1.21206618826591e-07,0.235758283903281,0.000332903811408767,-0.465876994263038,4.4453258795329e-09,0.0799175404202186,5.36137405783227e-15,-0.731706655127298,1.77382199817577e-107,-0.680409897684367,2.16328629076464e-264
"Tortispora caseinolytica",6,2,0,7,-0.106120440698302,9.37159804415204e-05,-0.219063108067401,4.56262843782794e-06,-0.482115041134153,2.98290465922271e-20,0.0804673028291484,0.231025282715219,-0.560110895642239,3.56706244974648e-15,0.218463582772543,2.09239184046889e-66,-0.346947878731057,4.82686279254726e-18,-0.438836737229339,4.70865092668529e-70
"Yarrowia lipolytica",5,3,0,8,-0.833951327605828,1.35652139957679e-45,0.914815253645355,4.6533200760251e-21,-2.23473608232262,4.44720142695233e-51,-0.485040620556512,2.22721001700496e-12,-2.17898680955383,1.78740199875002e-42,0.109411804494679,1.19050050828384e-06,0.473493218780503,3.39644970859962e-27,-0.329620857648207,9.98477039549294e-21
"Sugiyamaella lignohabitans",5,3,0,8,-1.18668033408154,1.13190465709287e-206,-0.448830875520889,7.38967061094195e-24,-0.349600829407885,1.26469404091962e-14,1.3036511302566,1.28986888101143e-76,-1.01953425907772,2.47550237268811e-28,0.155660853984158,8.04486677387544e-26,0.270246223625055,1.69970519704421e-14,-0.562760430895272,3.34887577103486e-125
"Lipomyces starkeyi",6,2,0,7,-0.628053538452394,2.41980942476908e-94,0.00174951886249759,0.959992165855413,-0.0867769204808052,0.0132900820172883,-0.497698238944292,1.13406390301809e-31,-1.61325916920788,2.87254121561185e-79,0.159964525978715,6.00342714209192e-74,-0.785354919482309,3.09383678946213e-138,-0.618210492148665,7.14669955546524e-214
"Metschnikowia bicuspidata",6,2,0,8,-0.25168842835664,5.40102257628519e-21,-0.153660555376048,0.000144856087825908,-0.158513844496849,1.3034643056992e-06,0.196473186643822,5.15829123813001e-08,-0.728552513457026,4.22146133518347e-34,0.259057143102928,2.58593987440148e-127,-0.608867295408428,4.12713257643237e-91,-0.163042065353151,8.70264817112613e-24
"Clavispora lusitaniae",6,2,0,8,-0.174023201521364,2.19175008606413e-08,-0.206125053418776,3.97291622466013e-05,-0.174721879815479,2.81690621850982e-05,0.495475979828029,4.74626800690231e-21,-1.09167049512209,9.0526968813149e-32,0.187380142325858,1.11576156716275e-45,-0.801141645506411,6.51404901334557e-93,-0.430189935086364,7.64000138307133e-77
"[Candida] intermedia",5,3,0,8,-0.302804294567453,7.01076800787979e-23,0.103179344896136,0.0135942705554703,-0.373184138706886,2.39799655556657e-16,0.757225332891291,3.34726028743443e-53,-0.646329104234428,1.95553145093909e-20,0.0403492696305024,0.00216039799392849,-0.63587347514695,3.65885614957538e-94,-0.650996983865377,2.05662642261709e-172
"Kuraishia capsulata",6,2,0,7,0.143413773572921,4.09144498502854e-07,-0.497367558764778,5.97326647980783e-31,0.0532427623626774,0.175984216783394,-0.250241938183768,2.65386211534164e-08,-0.587238699886608,2.37667878929003e-11,-0.235712256802057,8.1211439553308e-60,-0.802081118847815,4.0644004106207e-103,-0.7261240317537,1.83038402087775e-229
"Nadsonia fulvescens",4,4,0,8,-0.123638050506121,6.53872935091474e-06,0.235573892663201,8.57793221445552e-09,0.315508279751265,3.48638941239549e-16,0.706322358909889,6.92616786955429e-36,-0.658308264483355,1.32186864449133e-16,0.509891458852052,0,-0.45931539733289,5.31378804122638e-41,-0.230021783614688,4.04079878213814e-25
"Ascoidea rubescens",6,2,0,8,-1.1202958191487,0,-0.244071124922787,4.91149884853302e-08,-0.13692112341891,1.46120134034117e-05,0.582647495001071,1.99526817474227e-25,-0.708319481957345,4.28587657439837e-17,0.151121917905219,1.42508086524382e-66,-1.10361814334557,1.44480932621522e-198,-0.272478430192232,2.41501300488723e-40
"Komagataella phaffii",4,4,0,8,-6.90780330815201,3.62405633167327e-139,5.12768700325871,1.72728021129621e-35,3.32192809488736,5.76746070243884e-13,4.20937093784867,1.44211191928037e-19,-3.32192809488736,2.98460307797608e-06,-0.448060789624005,1.91294332051307e-09,0.399740803209263,5.65041834898611e-05,-1.90922451863014,3.86096988586756e-50
"Komagataella pastoris",7,1,0,8,-0.681743931497511,1.2509433756073e-86,-0.683836139764244,2.32926189630216e-41,-0.160219983765184,0.00980089894374577,-0.584130386516129,5.66573945886599e-13,-2.81037222457101,2.22222922272187e-61,0.296228519405738,5.04644572519617e-64,-0.45806985217565,1.34046740482794e-27,-0.531676143307004,2.70816688389121e-76
"Wickerhamomyces anomalus",5,3,0,8,-0.218553323494981,2.52246205173734e-17,0.336927382890489,5.03345054591364e-22,-0.180652851813453,1.69198514284711e-07,0.316406487080889,1.59831958812525e-10,-1.14799987158383,5.7323901475358e-41,0.328609861170884,1.66738210044989e-264,-0.730672905268138,3.066357054157e-141,-0.467839277647709,5.82494756464752e-184
"Cyberlindnera jadinii",4,4,0,7,0.200224890955632,9.65377399414968e-12,0.145207308906059,0.00193929236373125,-0.0132255710048552,0.710566563940798,0.495215219424883,2.35676622930989e-30,-1.32346122929573,2.44216667347615e-81,0.117395918227201,1.59735668305614e-20,-0.602910239107903,1.05875346067565e-79,-0.274929572879006,5.3477703333131e-35
"Cyberlindnera fabianii",6,2,0,8,-0.806258447094909,4.85616693259845e-188,-0.97604373769621,6.95083332167826e-76,-0.125026245432872,0.000185810643584351,0.264990495115227,1.75341042337722e-08,-1.37422125104446,1.25086537854057e-88,0.272690198168176,2.13931023147803e-198,-0.654983395838219,1.44943419582019e-92,-0.64097601005303,2.10654069270152e-226
"Hanseniaspora osmophila",6,2,0,8,-0.507889049118941,9.17034119004101e-67,0.213260169772633,1.41637512930649e-05,-0.316688587210477,4.1915236681374e-13,0.576581019622041,8.56868343793011e-21,-1.4589487826693,6.72273035891561e-83,-0.0371807505242831,0.000441134493985771,-0.484252759590154,2.98486594766732e-63,-0.517407598018608,4.91572559571157e-149
"Hanseniaspora opuntiae",7,1,0,7,-0.670246376110225,5.38128082286271e-56,-0.0754924839047525,0.098272475890575,-0.379711533548321,5.55442754129677e-12,1.75677816589917,3.60860504518169e-97,-1.93750568764724,3.08311941791589e-91,-0.143028886629086,5.3269848817027e-22,-1.15758981474464,7.56582216013285e-210,-0.528598153394962,4.19406251022488e-108
"Hanseniaspora uvarum",5,3,0,8,-0.893882739494616,2.29648469777249e-145,0.192793789248573,6.82174705827187e-05,-0.620651060748396,2.77247891806189e-23,0.222022730709606,0.00239725211433399,-2.97705853065501,3.38869480131076e-94,0.224291225873068,3.02130422320029e-70,-0.486485045527045,1.84598807535802e-49,-0.505171452650376,8.72344357571841e-143
"Hanseniaspora guilliermondii",4,4,0,8,-1.08212604710394,3.44408232250114e-215,-0.190263304142465,5.47509796376621e-07,-0.301435589207068,3.65122254682622e-12,0.466549638599097,1.85672427894729e-14,-0.932854844902504,2.68735942961816e-77,0.137550690428486,2.91231908116648e-34,0.15543877986832,1.00223496437927e-27,0.0979478308622879,4.09837769234669e-15
"Hanseniaspora valbyensis",5,3,0,8,-0.626058494208176,2.18363666658456e-72,0.456431145175322,4.42737275984563e-31,-0.737531472085484,1.90456392381561e-36,0.331638739314919,1.45981502801122e-05,-1.50360667611104,4.30132720460433e-51,0.300151257386677,3.96237565057243e-174,-0.66656037176002,1.23215173075057e-120,-0.576188751690074,2.71038414311321e-178
"Brettanomyces nanus",6,2,0,8,-0.311488488095981,2.60689750038671e-33,-0.234366470182826,3.19468082263192e-10,-0.369859682264155,3.9135798901587e-20,0.198654777148275,5.9032371146653e-06,-0.74604908094861,1.73071947057199e-28,0.214403352717701,6.97874851700926e-81,-0.377977867234874,9.33071861564723e-40,-0.198572479479672,1.20185368050769e-22
"Brettanomyces bruxellensis",7,1,0,6,-0.549316548348939,6.11967946764447e-73,-0.643993340645632,2.07911977459685e-43,0.0814835327692391,0.141382084045356,-0.243727342775847,4.87122120699389e-05,-1.3009990232491,6.58998848465507e-52,-0.00953152663770057,0.50504634042805,-1.7165346655915,0,-0.796510736953445,3.23393917476149e-200
"Ogataea parapolymorpha",4,4,0,7,0.18989892000022,6.24011717719322e-08,0.499087796825352,1.18911547471523e-16,-0.28031768713334,2.85389248841443e-11,-0.33700802103823,5.35476501342176e-10,-0.731151914259252,2.68644577347306e-18,0.143163110458052,9.417242125113e-26,0.00315780385476306,0.923591108645825,-0.324999052188555,2.62428233858463e-47
"[Candida] arabinofermentans",7,1,0,8,-0.916583555519015,8.64928757820318e-265,-0.552062291432403,7.74632166452679e-45,-0.470535085911693,7.70854865716193e-32,-0.188628517906196,6.11390744760847e-05,-0.692762644804833,1.41145050403787e-21,0.0339603041396064,0.000379611343115621,-0.379385009559303,1.24994694592413e-38,-0.716162591629507,3.08052464348632e-263
"Pichia membranifaciens",5,3,0,6,-0.0406074013331708,0.104403510753567,0.0283005077843123,0.414242761925321,-0.0792596046295584,0.0155340758169158,0.382828538028121,1.1296174791322e-16,-1.84484832529089,6.88914909400211e-91,0.0878930832304661,1.7984413131491e-18,-0.506748096936602,1.05496577796235e-55,-0.472448177077596,2.84406616948297e-169
"Pichia kudriavzevii",5,3,0,7,-0.71587566223143,1.96952740650522e-133,-0.430485975612469,3.15547324980331e-33,0.0307302681221909,0.324648039159931,0.977784535308451,1.51713988801459e-56,-1.54135833186679,2.56913209231764e-48,0.076676846049818,2.8579545599322e-15,-0.503727374895157,1.01513439647573e-75,-0.902872080054193,0
"Millerozyma farinosa",5,3,0,7,-0.159137458136238,1.50120954524849e-10,0.0550028014878833,0.0933393652313214,-0.184818551785091,7.83175987986556e-11,0.475622863526039,3.06327583458153e-25,-1.43465005670314,7.7003314474476e-107,0.215004682641948,2.89254243936623e-141,-0.660208578922097,1.80421805503619e-103,-0.16777080572558,2.22541522009958e-27
"Yamadazyma tenuis",7,1,0,6,-0.276849311191451,6.6478183527657e-19,-0.222183980842566,1.31442989244977e-08,-0.0421591900455573,0.143012170713862,0.0711538896416396,0.120866185459561,-1.18424655349163,5.36352787541319e-79,-0.0502761522262764,1.91891147174995e-06,-0.427542785642978,1.00075368817951e-51,-0.744838220057411,6.31675907255874e-305
"Scheffersomyces stipitis",5,3,0,8,-0.172304402956003,2.86064249142467e-14,0.206823349791796,3.01838263147211e-09,0.262682523005667,1.08933534084443e-15,-0.145867956504882,0.0001063569897061,-1.44945769987629,1.58440343059055e-96,0.274997918071076,3.75504206813338e-219,-1.00614410495768,1.13844731779414e-209,-0.747360738050113,7.52435524310237e-302
"Debaryomyces hansenii",7,1,0,7,-0.890398441053384,1.63666679033026e-144,-0.0451598364655156,0.436282541754181,-0.676549254659954,1.32623529472089e-40,0.35865135313786,3.00157469082582e-10,-1.12781758724348,7.86027166823149e-31,-0.071832182820455,2.18150722992342e-11,-0.791800183551531,4.57195727225558e-142,-0.759952171811109,6.99286560704633e-247
"Suhomyces tanzawaensis",5,3,0,7,-0.408288784656835,6.02496646305111e-42,0.077277370332591,0.151494197782554,-0.849161856899179,1.40288608905651e-40,0.316916102568934,1.84744162650803e-07,-2.03199057793639,1.63093164628803e-109,0.443777398345963,7.17106318100792e-234,-0.452864096666289,8.51861718633385e-30,-0.559689801546123,2.03637331645621e-114
"Babjeviella inositovora",4,4,0,6,-0.254692598628631,2.60510460748196e-21,-0.44875419443198,7.32627803149697e-42,0.0114871364300807,0.683057235556494,0.0897670305936086,0.0178941069743902,-0.849095029279177,1.28754941815414e-35,0.561929437056926,0,-0.631769871654664,5.32792420340839e-88,0.00728372255891317,0.720371008186615
"Meyerozyma guilliermondii",4,4,0,6,-0.757083231159786,2.52780156070162e-84,0.00589449003231346,0.901781304419424,-0.119816331737624,0.050190712239025,0.365852533834973,1.32301422852086e-08,-1.30926433166112,3.45282733613152e-36,0.245119305193371,4.01649135504884e-43,0.181811463025777,1.49639821905002e-05,-0.201217916633206,6.76065868127916e-16
"Hyphopichia burtonii",7,1,0,8,-0.889485078007701,2.55485098317929e-189,0.220960673249572,2.8817303121308e-08,-0.173957214788106,6.96376028364682e-06,-0.200589559287072,0.000915275390234058,-2.87099832121887,7.7795886620492e-99,-0.170614106691713,1.18070638142703e-54,-0.826758717039812,4.08226401399583e-164,-0.563196249827713,1.35275432348434e-220
"Spathaspora passalidarum",5,3,0,7,-0.423387716417873,3.90178671224647e-73,0.0337426124026956,0.398025066475991,-0.252940498490588,2.01282285709404e-12,0.507189014480538,1.89558580700592e-21,-0.762597777094897,9.24564102946007e-45,0.232644561264064,7.19274757027219e-112,-0.251156979953967,8.32007138780471e-13,-0.335453093899185,9.67968559367288e-85
"Lodderomyces elongisporus",7,1,0,6,-0.0741986394560572,0.000233578026290209,-0.60012849242014,3.47267723734243e-64,-0.231098633923151,2.06527454156068e-15,-0.0997682508495345,0.0523387961221991,-1.1426873233692,2.77962979835006e-50,0.0202141596976953,0.0503899971137898,-0.246022040740278,1.51575333675758e-19,-0.534689158795108,4.32662299144185e-201
