"","Cohort","Fungi","observed value","low CI","high CI"
"Eremothecium sinecaudum4","2019_WirbelJ","Eremothecium sinecaudum",-3.74136043488597,-3.99011915044088,-3.45314859132733
"Encephalitozoon hellem4","2019_WirbelJ","Encephalitozoon hellem",-3.67521200965194,-3.92081625465947,-3.37120869162928
"Hyphopichia burtonii4","2019_WirbelJ","Hyphopichia burtonii",-2.87748950725513,-3.25085607529327,-2.50723129714606
"Komagataella pastoris4","2019_WirbelJ","Komagataella pastoris",-2.64894423038898,-3.0927488948244,-2.2172111095849
"Torulaspora delbrueckii4","2019_WirbelJ","Torulaspora delbrueckii",-2.2182831776185,-2.57510435380491,-1.87131598646212
"Coccidioides immitis4","2019_WirbelJ","Coccidioides immitis",-2.15578729169091,-3.49100320933949,-1.5307479639871
"Hanseniaspora opuntiae4","2019_WirbelJ","Hanseniaspora opuntiae",-1.94052618350711,-2.16954131245622,-1.72724746047439
"Torulaspora globosa4","2019_WirbelJ","Torulaspora globosa",-1.76852405549221,-1.93615820526132,-1.60310600284462
"Rutstroemia sp. NJR-2017a WRK44","2019_WirbelJ","Rutstroemia sp. NJR-2017a WRK4",-1.56229259566495,-1.72526429308311,-1.40341033867384
"Emmonsia sp. CAC-2015a4","2019_WirbelJ","Emmonsia sp. CAC-2015a",-1.488590668708,-1.60925319696586,-1.36976692407545
"Rhizophagus irregularis4","2019_WirbelJ","Rhizophagus irregularis",-1.4678782043726,-1.64530130784915,-1.30734205979398
"Kwoniella pini4","2019_WirbelJ","Kwoniella pini",-1.42896411080241,-1.56138236425554,-1.29526961936044
"Brettanomyces bruxellensis4","2019_WirbelJ","Brettanomyces bruxellensis",-1.30904906963771,-1.51450589165863,-1.11903088708395
"Edhazardia aedis4","2019_WirbelJ","Edhazardia aedis",-1.18469584555717,-1.29598929074654,-1.0754881182712
"Tuber magnatum4","2019_WirbelJ","Tuber magnatum",-1.16266668130832,-1.26082716443248,-1.06817109583314
"Leucoagaricus sp. SymC.cos4","2019_WirbelJ","Leucoagaricus sp. SymC.cos",-1.15588342777081,-1.25401658703301,-1.0591915341492
"Debaryomyces hansenii4","2019_WirbelJ","Debaryomyces hansenii",-1.12781758724348,-1.31070163637275,-0.942202856097137
"Trichoderma atroviride4","2019_WirbelJ","Trichoderma atroviride",-1.09852575986457,-1.2050125443747,-0.99342659558268
"Piromyces sp. E24","2019_WirbelJ","Piromyces sp. E2",-1.05318529534797,-1.15331934030726,-0.955433653095524
"Mucor circinelloides4","2019_WirbelJ","Mucor circinelloides",-0.985886027145236,-1.0745420876538,-0.898063707556511
"Rutstroemia sp. NJR-2017a BVV24","2019_WirbelJ","Rutstroemia sp. NJR-2017a BVV2",-0.884442229321103,-0.985112596039381,-0.784220857191023
"Pseudocercospora fijiensis4","2019_WirbelJ","Pseudocercospora fijiensis",-0.80925896711445,-0.930306683658356,-0.694169686676717
"Colletotrichum fioriniae4","2019_WirbelJ","Colletotrichum fioriniae",-0.778588879401727,-0.883208417480302,-0.674439312052123
"Batrachochytrium salamandrivorans4","2019_WirbelJ","Batrachochytrium salamandrivorans",-0.628440542577807,-0.738012855108087,-0.522297164787279
"Aspergillus rambellii5","2019_Yachida","Aspergillus rambellii",1.54485580478789,1.49356784045512,1.59651006589127
"Komagataella pastoris5","2019_Yachida","Komagataella pastoris",0.271506384816546,0.238588729307747,0.304682472422754
"Rutstroemia sp. NJR-2017a BVV25","2019_Yachida","Rutstroemia sp. NJR-2017a BVV2",0.261034576226784,0.246308580908846,0.275787546411244
"Leucoagaricus sp. SymC.cos5","2019_Yachida","Leucoagaricus sp. SymC.cos",0.229291684841698,0.216789062437163,0.24180258363445
"Mucor circinelloides5","2019_Yachida","Mucor circinelloides",0.117976775223861,0.105879330284021,0.130115170652537
"Edhazardia aedis5","2019_Yachida","Edhazardia aedis",0.112992618443135,0.10299752658265,0.123013034976036
"Emmonsia sp. CAC-2015a5","2019_Yachida","Emmonsia sp. CAC-2015a",0.0419376278195771,0.0275340950342608,0.0563176026066348
"Torulaspora delbrueckii5","2019_Yachida","Torulaspora delbrueckii",0.0310503037962911,0.00616816377072637,0.0558271643914407
"Eremothecium sinecaudum5","2019_Yachida","Eremothecium sinecaudum",-0.680265602832738,-0.719482786070928,-0.641409657441862
"Torulaspora globosa5","2019_Yachida","Torulaspora globosa",-0.566323699230141,-0.594950234856913,-0.537847094398944
"Rhizophagus irregularis5","2019_Yachida","Rhizophagus irregularis",-0.308047103944388,-0.318288947804383,-0.297787309799156
"Coccidioides immitis5","2019_Yachida","Coccidioides immitis",-0.21766276989783,-0.246040980282993,-0.190138692640041
"Hyphopichia burtonii5","2019_Yachida","Hyphopichia burtonii",-0.170155068573232,-0.191464543274898,-0.148806672180777
"Thielaviopsis punctulata5","2019_Yachida","Thielaviopsis punctulata",-0.168000929789223,-0.17772716533742,-0.158281196042614
"Piromyces sp. E25","2019_Yachida","Piromyces sp. E2",-0.152691609629063,-0.165200338705341,-0.140173606813683
"Hanseniaspora opuntiae5","2019_Yachida","Hanseniaspora opuntiae",-0.138263071025755,-0.16728166547803,-0.109400462876834
"Kwoniella pini5","2019_Yachida","Kwoniella pini",-0.11377359576425,-0.13010943187756,-0.0974144768101981
"Colletotrichum fioriniae5","2019_Yachida","Colletotrichum fioriniae",-0.09323020183349,-0.107395334591207,-0.0791222704306201
"Rutstroemia sp. NJR-2017a WRK45","2019_Yachida","Rutstroemia sp. NJR-2017a WRK4",-0.0878423391954692,-0.106216130035896,-0.0694709762741624
"Debaryomyces hansenii5","2019_Yachida","Debaryomyces hansenii",-0.0717457131258424,-0.0926613967522529,-0.0508006891217439
"Pseudocercospora fijiensis5","2019_Yachida","Pseudocercospora fijiensis",-0.0682235790466758,-0.0814453391629115,-0.0550020170125815
"Aspergillus kawachii5","2019_Yachida","Aspergillus kawachii",-0.0450925477442214,-0.0629685061128776,-0.0277025919979902
"Encephalitozoon hellem5","2019_Yachida","Encephalitozoon hellem",-0.0327085265787911,-0.0387189983253248,-0.0266899930871307
"Batrachochytrium salamandrivorans5","2019_Yachida","Batrachochytrium salamandrivorans",-0.0318943913955139,-0.0464631582989603,-0.0173466874528637
"Tilletia controversa5","2019_Yachida","Tilletia controversa",-0.0153736762387713,-0.0199524520072147,-0.0107714225537718
"Tuber magnatum5","2019_Yachida","Tuber magnatum",-0.00771786504262602,-0.0202483005585382,0.00486060570893261
"Trichoderma atroviride5","2019_Yachida","Trichoderma atroviride",-0.00469175911975962,-0.0216773899718033,0.0123013100187686
"Brettanomyces bruxellensis5","2019_Yachida","Brettanomyces bruxellensis",-0.00457556593531035,-0.0319024922547388,0.0227501781881913
"Tilletia controversa6","2021_JunY_1","Tilletia controversa",1.93831272690277,1.84576116299195,2.03231874497499
"Aspergillus rambellii6","2021_JunY_1","Aspergillus rambellii",1.77805638745139,1.68669200935041,1.86978878133751
"Thielaviopsis punctulata6","2021_JunY_1","Thielaviopsis punctulata",1.18254329317268,1.12698025869863,1.23812387598813
"Aspergillus kawachii6","2021_JunY_1","Aspergillus kawachii",-1.84915276357294,-2.00948306556309,-1.69087850933192
"Brettanomyces bruxellensis6","2021_JunY_1","Brettanomyces bruxellensis",-1.7264161943031,-1.81743933994071,-1.63671477225805
"Encephalitozoon hellem6","2021_JunY_1","Encephalitozoon hellem",-1.47723902224195,-1.91704333766644,-0.95045023306375
"Hanseniaspora opuntiae6","2021_JunY_1","Hanseniaspora opuntiae",-1.16183966228474,-1.23276883779996,-1.09110982788936
"Coccidioides immitis6","2021_JunY_1","Coccidioides immitis",-0.958653714688503,-1.04619647715646,-0.872949987475854
"Torulaspora globosa6","2021_JunY_1","Torulaspora globosa",-0.84569309042107,-0.914034879616447,-0.776844272019684
"Torulaspora delbrueckii6","2021_JunY_1","Torulaspora delbrueckii",-0.835017540039483,-0.897916561075454,-0.77207501404823
"Hyphopichia burtonii6","2021_JunY_1","Hyphopichia burtonii",-0.8265379860979,-0.884269083947959,-0.768793525993303
"Edhazardia aedis6","2021_JunY_1","Edhazardia aedis",-0.803229213042555,-0.851496608535965,-0.754841437050665
"Debaryomyces hansenii6","2021_JunY_1","Debaryomyces hansenii",-0.791685076595523,-0.849461264620419,-0.734149251386431
"Piromyces sp. E26","2021_JunY_1","Piromyces sp. E2",-0.68774633795254,-0.739186936101001,-0.6364363919299
"Colletotrichum fioriniae6","2021_JunY_1","Colletotrichum fioriniae",-0.613707225012621,-0.665905369632337,-0.561459882704278
"Mucor circinelloides6","2021_JunY_1","Mucor circinelloides",-0.610648533127062,-0.654773729137302,-0.566409872856542
"Kwoniella pini6","2021_JunY_1","Kwoniella pini",-0.564550118838624,-0.61664936484235,-0.512798245273188
"Trichoderma atroviride6","2021_JunY_1","Trichoderma atroviride",-0.552865548266411,-0.604736149974721,-0.500762770993104
"Batrachochytrium salamandrivorans6","2021_JunY_1","Batrachochytrium salamandrivorans",-0.548681945136051,-0.599624762758497,-0.497679251363371
"Leucoagaricus sp. SymC.cos6","2021_JunY_1","Leucoagaricus sp. SymC.cos",-0.508831111932848,-0.555515251501051,-0.461938610186081
"Eremothecium sinecaudum6","2021_JunY_1","Eremothecium sinecaudum",-0.496245953961252,-0.582803659157566,-0.410260315746188
"Komagataella pastoris6","2021_JunY_1","Komagataella pastoris",-0.452790151979225,-0.533706090699531,-0.372261119788381
"Pseudocercospora fijiensis6","2021_JunY_1","Pseudocercospora fijiensis",-0.436149893809968,-0.486607561409576,-0.385859784743448
"Rhizophagus irregularis6","2021_JunY_1","Rhizophagus irregularis",-0.421916918979008,-0.467143329699504,-0.376806425066034
"Emmonsia sp. CAC-2015a6","2021_JunY_1","Emmonsia sp. CAC-2015a",-0.376991336708999,-0.425391044774405,-0.328449331199136
"Tuber magnatum6","2021_JunY_1","Tuber magnatum",-0.359214058692723,-0.404617244658287,-0.313955686644487
"Rutstroemia sp. NJR-2017a BVV26","2021_JunY_1","Rutstroemia sp. NJR-2017a BVV2",-0.261538116236998,-0.30972137508522,-0.213682679919031
"Rutstroemia sp. NJR-2017a WRK46","2021_JunY_1","Rutstroemia sp. NJR-2017a WRK4",-0.092043069007659,-0.148698834767091,-0.0356926566149953
"Tilletia controversa7","2021_JunY_2","Tilletia controversa",2.15579798920315,1.81972983480411,2.58576420625705
"Aspergillus rambellii7","2021_JunY_2","Aspergillus rambellii",1.20615385317814,1.14116164543501,1.27142523753609
"Thielaviopsis punctulata7","2021_JunY_2","Thielaviopsis punctulata",0.138662263473435,0.105847853962046,0.171463910053559
"Aspergillus kawachii7","2021_JunY_2","Aspergillus kawachii",-1.7110623626225,-1.87144446173103,-1.55772733897086
"Trichoderma atroviride7","2021_JunY_2","Trichoderma atroviride",-1.07975443738661,-1.11582261947594,-1.04386789011843
"Torulaspora globosa7","2021_JunY_2","Torulaspora globosa",-0.938333607715018,-0.980825011105699,-0.895881533612264
"Torulaspora delbrueckii7","2021_JunY_2","Torulaspora delbrueckii",-0.861827412785945,-0.907458501333262,-0.816253812459057
"Brettanomyces bruxellensis7","2021_JunY_2","Brettanomyces bruxellensis",-0.793217256025043,-0.842213848622212,-0.744063338379776
"Debaryomyces hansenii7","2021_JunY_2","Debaryomyces hansenii",-0.759956355959798,-0.801725811486239,-0.71819736409483
"Rutstroemia sp. NJR-2017a WRK47","2021_JunY_2","Rutstroemia sp. NJR-2017a WRK4",-0.695139444153065,-0.733836180194566,-0.656311746280924
"Eremothecium sinecaudum7","2021_JunY_2","Eremothecium sinecaudum",-0.66869885846222,-0.715706301416418,-0.621630773669655
"Leucoagaricus sp. SymC.cos7","2021_JunY_2","Leucoagaricus sp. SymC.cos",-0.65613614300881,-0.685121292951767,-0.627222931307394
"Rutstroemia sp. NJR-2017a BVV27","2021_JunY_2","Rutstroemia sp. NJR-2017a BVV2",-0.596372527360977,-0.625004012756109,-0.567742468887219
"Colletotrichum fioriniae7","2021_JunY_2","Colletotrichum fioriniae",-0.565182970645455,-0.596286202128008,-0.534062699361149
"Hyphopichia burtonii7","2021_JunY_2","Hyphopichia burtonii",-0.563317018871256,-0.59779567388482,-0.528908303887184
"Batrachochytrium salamandrivorans7","2021_JunY_2","Batrachochytrium salamandrivorans",-0.556221639340006,-0.588078752690703,-0.524399517141395
