,p_values,adj_pvalue,mFC,AbsLog2FC
Enterobacter cloacae,0.205109318,0.318152521,0.918017373,0.123406639
Duncaniella sp. H5,0.218968049,0.335833019,0.919485446,0.121101356
Citrobacter freundii complex sp. CFNIH3,0.372265846,0.515881097,0.919957448,0.120360964
Mogibacterium diversum,0.26726845,0.396545038,1.085152765,0.117898156
Fusobacterium mortiferum,0.378737822,0.522199119,1.084900482,0.11756271
Klebsiella aerogenes,0.270113196,0.398599473,0.922194092,0.116857671
Lachnoclostridium phocaeense,0.063101177,0.117990556,0.925044112,0.11240593
Faecalitalea cylindroides,0.153798464,0.248443673,0.925676866,0.111419427
Christensenella sp. Marseille-P3954,0.246913141,0.368345833,1.080213626,0.111316652
[Clostridium] scindens,0.079122209,0.141178843,0.925852458,0.111145789
Citrobacter koseri,0.443143622,0.595951767,0.925924121,0.111034125
Bacteroides vulgatus,0.361076227,0.502927602,1.077604845,0.107828242
Alistipes sp. 5CBH24,0.43097672,0.586409779,1.077199824,0.107285899
Bacteroides sp. PHL 2737,0.326773489,0.462223639,1.075350563,0.104807053
Ornithobacterium rhinotracheale,0.432569969,0.586409779,0.931270841,0.102727287
Blautia coccoides,0.017354491,0.037601396,0.933165387,0.099795299
Kosakonia cowanii,0.24580478,0.368345833,0.935484491,0.09621436
Lachnoclostridium sp. YL32,0.074623047,0.134914516,0.935709099,0.095868012
Eggerthella lenta,0.48787966,0.643435493,1.065804862,0.09194332
Hungatella hathewayi,0.106595151,0.180748299,0.94323837,0.084305688
Schaalia odontolytica,0.486601003,0.643435493,0.943295259,0.084218678
Bacteroides caecimuris,0.299069353,0.431989066,1.058871983,0.08252818
Streptococcus gallolyticus,0.433900276,0.586409779,0.945620877,0.080666208
Muribaculum sp. TLL-A4,0.495589527,0.647348999,0.945651391,0.080619655
Bacteroides xylanisolvens,0.461412205,0.617478097,1.055373189,0.077753238
Raoultella ornithinolytica,0.487311144,0.643435493,0.949599352,0.074609145
Prevotella enoeca,0.690538899,0.816091426,1.050448577,0.07100554
Bacteroides uniformis,0.490299838,0.643518538,1.050424946,0.070973083
Prevotella oris,0.698910962,0.8224254,1.050330676,0.070843603
Shigella sonnei,0.313426094,0.445652728,1.049415157,0.069585533
[Clostridium] innocuum,0.308124493,0.440408307,0.953104885,0.069293109
Acidaminococcus intestini,0.680376108,0.807576859,0.956234844,0.064563118
Lactobacillus fermentum,0.561368674,0.716138541,1.045414681,0.064075324
Parolsenella catena,0.565807639,0.718444119,0.957532494,0.062606648
Prevotella melaninogenica,0.711537729,0.830127351,1.044233947,0.062444965
Lactobacillus salivarius,0.534348673,0.689252408,0.95805024,0.061826783
Aeromonas salmonicida,0.592946098,0.745964446,0.958151068,0.061674957
Phascolarctobacterium faecium,0.761254105,0.851731028,1.043579331,0.061540276
Raoultella planticola,0.618907136,0.771514374,0.958444561,0.06123311
Bacteroides helcogenes,0.555425722,0.711883671,0.960803578,0.057686571
Prevotella dentalis,0.749539185,0.84906306,0.960997781,0.057394996
Lactobacillus gasseri,0.660061094,0.793817967,0.961960355,0.055950658
Citrobacter sp. TSA-1,0.76039081,0.851731028,0.962491497,0.055154299
Fusobacterium ulcerans,0.586378678,0.741117496,1.037971347,0.053766619
Propionibacterium freudenreichii,0.655961888,0.793817967,0.963766434,0.053244539
Caproiciproducens sp. NJN-50,0.519838818,0.675790463,0.963968651,0.052941865
Muribaculum intestinale,0.626116443,0.776953586,0.964653915,0.05191665
Enterobacter hormaechei,0.632554883,0.777871546,0.965818481,0.050176025
Bacteroides zoogleoformans,0.605389543,0.758125437,0.966143076,0.049691241
Fusobacterium varium,0.641128832,0.784879691,1.033325047,0.047294145
Prevotella jejuni,0.792348145,0.875753213,1.031573793,0.044847027
Prevotella fusca,0.811097595,0.885718574,1.030558992,0.043427091
[Ruminococcus] gnavus,0.664499722,0.795650983,0.971506188,0.04170491
Olsenella umbonata,0.65874823,0.793817967,1.027685398,0.039398685
Bacteroides ovatus,0.716441599,0.83229173,1.026802862,0.038159222
Lactobacillus paracasei,0.742503405,0.844597623,0.974723138,0.036935604
Bacteroides coprosuis,0.739421268,0.844597623,0.975024866,0.036489083
