"","p_values","adj_pvalue","mFC","AbsLog2FC"
"Phlebia centrifuga",0.327386637555839,0.690307129217342,0.93792058668707,0.0924623193139478
"Tuber borchii",0.142402514656698,0.520384498004724,1.06525421127763,0.0911977549447643
"Baudoinia panamericana",0.347459897508115,0.690307129217342,0.940121547542127,0.0890808011822461
"Allomyces macrogynus",0.253573277431263,0.665864387928122,0.941080843719823,0.0876094316319035
"Basidiobolus meristosporus",0.223057902261129,0.651377116884511,1.0625574626341,0.0875408636650048
"Globisporangium ultimum",0.166138724395029,0.575283762834069,0.941337426489083,0.087216138922265
"Naumovozyma dairenensis",0.315066621410091,0.690307129217342,1.06191589144641,0.0866695026783246
"Colletotrichum chlorophyti",0.254141371130336,0.665864387928122,1.06176858561454,0.0864693624072355
"Sporisorium reilianum",0.361363611378025,0.690307129217342,0.942272089370848,0.0857843839818247
"Sporisorium graminicola",0.429266001830694,0.770077191162942,0.942340928398478,0.0856789896935656
"Ophiocordyceps australis",0.253006068508308,0.665864387928122,1.06087226146816,0.0852509532923432
"Emergomyces pasteurianus",0.195170498234017,0.651377116884511,0.942726327404444,0.0850890762666508
"Podospora anserina",0.328939887647959,0.690307129217342,0.942778389626068,0.0850094053877654
"Galerina marginata",0.291602057994391,0.690307129217342,0.942993344726218,0.0846805059216277
"Elsinoe australis",0.436795747710399,0.770690861417243,0.943061594340774,0.0845760939254918
"Rhodotorula graminis",0.350269396187194,0.690307129217342,0.943202491810369,0.0843605651641379
"Periconia macrospinosa",0.232424519728776,0.652661497746909,0.943207849395155,0.0843523703818762
"Pneumocystis carinii",0.367500247245714,0.692866708183002,1.05990334362152,0.0839327062639576
"Aphanomyces astaci",0.223265374822222,0.651377116884511,0.943686432080743,0.0836205340636062
"Puccinia coronata",0.123641379499875,0.486628630298178,1.05962347347087,0.0835517086964611
"Cyberlindnera fabianii",0.383533388199929,0.707194042052272,1.05903786555729,0.082754173348287
"Ophiostoma piceae",0.259178798138199,0.672955475867604,0.945038633909796,0.0815547858597128
"Phaeoacremonium minimum",0.215579274463312,0.651377116884511,1.05801301058306,0.081357368650666
"Schizopora paradoxa",0.319360098661284,0.690307129217342,0.945335536498851,0.0811016058458463
"Pestalotiopsis fici",0.230720371110777,0.652661497746909,1.05710851091514,0.080123475229715
"Aspergillus wentii",0.316911449083493,0.690307129217342,0.946012232045553,0.080069256991435
"Peniophora sp. CONT",0.334242926905023,0.690307129217342,0.946371011090978,0.0795222126676287
"Fusarium oxysporum",0.115502686437333,0.468339660074665,0.946424780929539,0.0794402455798014
"Neurospora tetrasperma",0.453478216341785,0.773499949831951,1.05626917322644,0.0789775291985097
"Microdochium bolleyi",0.299416623851125,0.690307129217342,0.946989582623172,0.0785795395005156
"Anthracocystis flocculosa",0.438488256556249,0.770690861417243,0.947235394047525,0.0782051057038272
"Puccinia sorghi",0.27118064974119,0.686063866011901,1.05505533317521,0.0773186641496095
