"","Bacteroidetes","Firmicutes","Actinobacteria","Proteobacteria","Verrucomicrobia","Cohort","Stage","SampleName"
"S2_011_merged",68.2296555152324,27.1201191514152,1.35427488772569,3.03744837502241,0.0211409123550836,"2021_JunY_2","adenoma","S2_011_merged"
"HmFeces_10759",71.5515108079659,23.7855944396194,2.22802408159337,2.09638016974511,0.137621273189921,"2019_Yachida","adenoma","HmFeces_10759"
"S2_030",66.4916799747202,28.8423515311438,0.997055021185565,3.32382943809245,0.024518122532797,"2021_JunY_2","adenoma","S2_030"
"S4_014",80.6991079543421,14.6233562300599,1.48481286588034,2.22475347026043,0.00203068234358884,"2021_JunY_2","adenoma","S4_014"
"S2_035",77.1532387141331,18.1228075858325,1.38356114691811,3.13805202151544,0.0667642297354861,"2021_JunY_2","adenoma","S2_035"
"HmFeces_10853",78.176121362106,17.0963397770676,0.457079498208113,2.32284488960541,0.00708442314291526,"2019_Yachida","adenoma","HmFeces_10853"
"S3_065",53.6638219667707,41.5428035196361,3.07170198001093,1.47782909239825,0.0277360659192711,"2021_JunY_2","adenoma","S3_065"
"HmFeces_11407",62.0640342178651,33.1129255648296,3.56826014252245,1.08949126870825,0.0222935025642479,"2019_Yachida","adenoma","HmFeces_11407"
"S4_040",81.8236252843702,13.3400212771522,3.43059402356545,1.05344102708411,0.0116868253168932,"2021_JunY_2","adenoma","S4_040"
"S3_007",63.9890672803619,31.1603262955471,0.476828941556793,4.24687639113779,0.00900382562689861,"2021_JunY_2","adenoma","S3_007"
"S3_024",24.0293581320197,71.0839321286996,2.05104164499219,2.14863340359529,0.0400724836072035,"2021_JunY_2","adenoma","S3_024"
"CCIS56503244ST-3-0",57.1238994575641,37.9262174577315,0.442934309173984,2.56062059383289,1.62120912136771,"2014_ZellerG","adenoma","CCIS56503244ST-3-0"
"HmFeces_11237",63.4893276409494,31.5451882996795,2.18349353173879,2.62565944350172,0.0139145308161858,"2019_Yachida","adenoma","HmFeces_11237"
"S2_027-2",58.7137764334135,36.2741983846853,2.94875603596267,1.60225767336794,0.206924538088283,"2021_JunY_2","adenoma","S2_027-2"
