"","Median","low-CI","high-CI"
"Armillaria solidipes",1.23892452797811,1.22139535857153,1.25660201714629
"Armillaria ostoyae",1.66673173718155,1.62502948334009,1.70089619441497
"Armillaria gallica",1.31416275747029,1.29540960696124,1.33329487964865
"Hypholoma sublateritium",1.2972474148467,1.27971878591194,1.31483038209857
"Galerina marginata",1.20640888818925,1.18853342654112,1.22436886421451
"Agaricus bisporus",1.54167040902866,1.51345260768846,1.57141012066912
"Leucoagaricus sp. SymC.cos",1.39396607104461,1.37493980954083,1.41326098090869
"Protomyces lactucaedebilis",3.25005950085822,3.08331062927175,3.44687701158185
"Neolecta irregularis",1.58333151234477,1.55002519341349,1.61112560275263
"Saitoella complicata",2.16670591398945,2.12496909537138,2.21666400337279
"Schizosaccharomyces pombe",1.53073756707325,1.50385315144819,1.5567840350068
"Pneumocystis jirovecii",1.76858745981986,1.71164113362182,1.83867470700178
"Pneumocystis murina",1.67465840422726,1.63889213695,1.71370026093689
"Pneumocystis carinii",1.28972671837518,1.26805299667073,1.30995137614186
"Tortispora caseinolytica",1.74998847430489,1.70382944387059,1.77771738758466
"Yarrowia lipolytica",2.53658882526158,2.36959201553306,2.73122362419213
"Sugiyamaella lignohabitans",1.88118987889419,1.83924933761071,1.92667536495785
"Lipomyces starkeyi",1.49996773757655,1.47024845236535,1.52774276429695
"Metschnikowia bicuspidata",1.53575045512091,1.50627971270372,1.56256979132428
"Clavispora lusitaniae",1.75786281429459,1.73529689862593,1.80003302343111
"[Candida] intermedia",1.54993832334188,1.51667918120936,1.58341518041165
"Kuraishia capsulata",1.38167313909899,1.34999808803858,1.41662326178618
"Nadsonia fulvescens",2.12504879644112,2.08339616100815,2.16966696064085
"Ascoidea rubescens",1.42062941314739,1.39978800849247,1.44443026433173
"Komagataella phaffii",0.999966016389857,0.999927792484564,0.999941859967886
"Komagataella pastoris",1.99997751481787,1.91658158257006,2.0138748758098
"Wickerhamomyces anomalus",1.58336799480858,1.55556988923053,1.61110647749114
"Cyberlindnera jadinii",1.66664414822114,1.63465486255069,1.6993989012283
"Cyberlindnera fabianii",1.48327384716601,1.45839123494797,1.50572244905727
"Hanseniaspora osmophila",1.31580535462102,1.29170778303469,1.33808060599022
"Hanseniaspora opuntiae",1.50711255995374,1.4999597869349,1.53413805214912
"Hanseniaspora uvarum",1.91663848134857,1.87495793213288,1.95707825746959
"Hanseniaspora guilliermondii",1.4375225891935,1.41166269391678,1.4687727633107
"Hanseniaspora valbyensis",1.79548369890723,1.75694019956645,1.83329321008254
"Brettanomyces nanus",1.46667772757016,1.43328325921699,1.49999105285339
"Brettanomyces bruxellensis",1.56819863654482,1.53335861124504,1.60004090626086
"Ogataea parapolymorpha",1.66667678058652,1.63327470776252,1.70712895984556
"[Candida] arabinofermentans",1.26466204945469,1.24995746031306,1.28330419235825
"Pichia membranifaciens",1.33119673141294,1.30812451526279,1.35156276540194
"Pichia kudriavzevii",1.29232581763499,1.27077704541745,1.31575649523624
"Millerozyma farinosa",1.42430269964915,1.40389625848738,1.44476290083613
"Yamadazyma tenuis",1.21716824301824,1.19843920980141,1.24264632316354
"Scheffersomyces stipitis",1.46972556935248,1.44848389219614,1.49284158083907
"Debaryomyces hansenii",1.2875018926739,1.26372851496185,1.31247265959044
"Suhomyces tanzawaensis",1.84614006548746,1.8080673056703,1.88695384032836
"Babjeviella inositovora",2.06817883689944,2.02939266819188,2.10710084128899
"Meyerozyma guilliermondii",1.99996530679527,1.91668952367756,2.00237736104825
"Hyphopichia burtonii",1.23487993764029,1.21153474404443,1.25043894164027
"Spathaspora passalidarum",1.71668992096833,1.67862718285727,1.75004199092164
"Lodderomyces elongisporus",1.3076938284476,1.2856835413811,1.33328326043843
"Candida dubliniensis",1.41138913976861,1.38436798734332,1.43756864776162
"Candida maltosa",1.35554876523237,1.33330618008894,1.37877812822628
"Candida parapsilosis",1.29765211556636,1.26665193007005,1.32622462676657
"Candida orthopsilosis",1.44891829361339,1.4167128517625,1.48885650685182
"Candida tropicalis",1.54811865205704,1.52169062472506,1.57504202520935
"Candida albicans",1.55958741030433,1.5291720294027,1.59295488685723
"Saccharomycetaceae sp. 'Ashbya aceri'",1.87503397291776,1.81687668975917,1.95458438592062
"[Candida] glabrata",1.12505253070488,1.1087012112689,1.14281512613162
"Kazachstania africana",1.66667549448411,1.63156189589916,1.70236145395267
"Kazachstania naganishii",1.6000180765547,1.550000717924,1.66664818005578
"Eremothecium gossypii",1.000017581753,0.999977162741271,1.00006881014097
"Eremothecium cymbalariae",2.31731409146521,2.25002412127657,2.38884627341493
"Eremothecium sinecaudum",1.166624274955,1.12493501326219,1.1833954662948
"Torulaspora globosa",1.0713862210096,1.04997707610581,1.08923503431338
"Torulaspora delbrueckii",1.37912960771895,1.35419851970233,1.40839002337039
"Zygotorulaspora mrakii",1.39283532651814,1.36432929283195,1.42122575588369
"Pachysolen tannophilus",1.51781979559261,1.49998711491251,1.54243308137064
"Naumovozyma castellii",1.20833380779893,1.18522933183474,1.23426000344995
"Naumovozyma dairenensis",1.30906774690526,1.2886148969015,1.33071644289786
"Zygosaccharomyces bailii",1.349977726457,1.26921871439363,1.44224873977587
"Zygosaccharomyces parabailii",0.999930417584795,0.999981241229961,0.999939203019135
"Zygosaccharomyces rouxii",1.72559076439371,1.68887090908113,1.7622088594106
"Vanderwaltozyma polyspora",1.65111810979055,1.62671093795663,1.67643735980337
"Lachancea mirantina",2.49994491953809,2.3999792964561,2.51855635420283
"Lachancea thermotolerans",2.70138667892055,2.60863223063396,2.79897812705608
"Lachancea dasiensis",1.83330212549228,1.77219220415291,1.8749811006959
"Lachancea meyersii",1.82539670560365,1.77274478993169,1.87492987801047
"Lachancea sp. PJ-2012a",1.66994380527902,1.63886183267905,1.7222384436034
"Lachancea quebecensis",1.78572691384719,1.74996616938397,1.84997063486608
"Lachancea fermentati",1.57839704203623,1.54549171597892,1.61117026692235
"Lachancea nothofagi",1.58333920975585,1.55413909636977,1.62498397737977
"Kluyveromyces lactis",1.75003777871381,1.72215644778782,1.79166867399338
"Kluyveromyces marxianus",1.56999767023929,1.53569310487494,1.60890809074138
"Kluyveromyces dobzhanskii",2.29998779719928,2.24997522799063,2.36111600132885
"Tetrapisispora phaffii",1.47223875507386,1.44963341809782,1.4979377402995
"Tetrapisispora blattae",1.86424965024861,1.83263629129273,1.89779911899858
"Saccharomyces sp. 'boulardii'",0.999962197643295,0.999996505523607,0.999997931876282
"Saccharomyces cerevisiae x Saccharomyces kudriavzevii",2.04999461300566,1.99997851664843,2.13331703299087
"Saccharomyces kudriavzevii",1.04997130620299,1.00499276919667,1.17675205697385
"Saccharomyces paradoxus",1.58333533810473,1.55363139635424,1.62495235811183
"Saccharomyces arboricola",1.94951560992922,1.90004653790366,1.99999411720099
"Saccharomyces eubayanus",1.51130549048795,1.4999793430739,1.53849380512219
"Saccharomyces cerevisiae",1.74003628070183,1.68874474154581,1.79137190211557
"Drechslerella stenobrocha",1.55003129691314,1.52383454953433,1.58330373880119
"Arthrobotrys oligospora",1.41878744376626,1.39500063266834,1.44430763057433
"Dactylellina haptotyla",1.4331006024486,1.41215272773222,1.45438538630891
"Tuber borchii",1.14284166000714,1.12822646554174,1.15756662651142
"Tuber magnatum",1.07696083392684,1.06510142835137,1.08898628275801
"Umbilicaria pustulata",1.69214071010213,1.66666181267065,1.7194053593487
"Xylona heveae",1.65909505378076,1.62711055859504,1.68892236316965
"Coniosporium apollinis",1.93755446270874,1.90399823547926,1.97522016468262
"Diplodia seriata",1.35204694669348,1.33330939740922,1.37136252771618
"Macrophomina phaseolina",1.29622258173512,1.27754437275114,1.31497921948137
"Neofusicoccum parvum",1.51106978256889,1.48401412451664,1.53922072476025
"Cenococcum geophilum",1.18831194849779,1.17446564166824,1.20231120984432
"Clohesyomyces aquaticus",1.2507392320965,1.23535089410944,1.2678883551688
"Corynespora cassiicola",1.14200514141043,1.12474344924377,1.15986797794425
"Stagonospora sp. SRC1lsM3a",1.65828409882303,1.62782844905973,1.68751753301779
"Periconia macrospinosa",1.19327083465607,1.17479344978174,1.2118475102431
"Pyrenochaeta sp. DS3sAY3a",1.54542079253055,1.51981709450805,1.5713993200125
"Epicoccum nigrum",1.86111083259676,1.82477909755901,1.89997073550552
"Ascochyta rabiei",1.44891385628216,1.42428168104051,1.47336676333755
"Exserohilum turcicum",1.3889070826851,1.3657048503459,1.41338344344074
"Bipolaris victoriae",2.05881939074711,1.99991383876578,2.13895032285396
"Bipolaris zeicola",2.04995095183466,1.96877104006748,2.17217774187548
"Bipolaris maydis",1.00005416890941,1.00002365510098,1.00001889204642
"Bipolaris sorokiniana",1.50001737367401,1.47273953621499,1.52776829970636
"Bipolaris oryzae",1.58926327767523,1.56247197233099,1.62223029390847
"Stemphylium lycopersici",1.21897880999161,1.19995096855586,1.24029836776213
"Elsinoe australis",1.99999330619511,1.91668448319765,2.00999268811737
"Aureobasidium melanogenum",1.55828610382275,1.53009128895653,1.58821854641828
"Aureobasidium namibiae",1.50384175611596,1.47645803307308,1.53337296707508
"Aureobasidium subglaciale",1.4081638233933,1.37778040394123,1.43756704380322
"Acidomyces richmondensis",1.13337634669502,1.1189705314446,1.1499936194494
"Rachicladosporium sp. CCFEE 5018",2.5237608634602,2.49992831178039,2.60709929435038
"Rachicladosporium antarcticum",1.24187385792486,1.22224715757764,1.26022241686735
"Hortaea werneckii",1.37081307167839,1.34849024505203,1.39290541878757
"Baudoinia panamericana",1.41663253414418,1.39097066396827,1.43902388974338
"Sphaerulina musiva",1.47350927463527,1.45007391563222,1.49998719687822
"Cercospora beticola",2.0840019204867,2.03707427906186,2.1341305391051
"Cercospora zeina",1.10511665630053,1.08723742713181,1.12336224889762
"Cercospora berteroae",1.57812254170132,1.54997407844298,1.60610951503901
"Zymoseptoria brevis",1.70001975553082,1.66672106068721,1.73611296068557
"Zymoseptoria tritici",1.33838769797434,1.31714464364275,1.36017140147048
"Pseudocercospora eumusae",1.53262914229316,1.50284944878138,1.56069812496018
"Pseudocercospora musae",1.33553966800083,1.31765580535493,1.35411859440912
"Pseudocercospora fijiensis",1.07259527894351,1.05876240323934,1.08690239713351
"Phaeomoniella chlamydospora",1.24543067603164,1.22497917351187,1.26384364668099
"Endocarpon pusillum",1.39742858909322,1.37304327006334,1.41897918325754
"Cyphellophora europaea",1.45837546408341,1.43260116687825,1.4894854860949
"Phialophora americana",1.50555777689504,1.48199464626514,1.53018000725948
"Rhinocladiella mackenziei",1.67233133510061,1.64059240947464,1.7068622420843
"Capronia coronata",1.64996463068509,1.61905465162307,1.68246513077143
"Capronia epimyces",1.53405324471645,1.50656713826551,1.56249358730964
"Exophiala dermatitidis",1.54784936568599,1.52130576688257,1.57423088033776
"Exophiala aquamarina",1.23606367849461,1.21459276507407,1.25696873075437
"Exophiala sideris",1.50005319291594,1.47862659518731,1.51978352944081
"Fonsecaea multimorphosa",1.27502517423485,1.25570890179976,1.29378513012242
"Fonsecaea pedrosoi",1.50551576768062,1.48488616993556,1.53189337003036
"Cladophialophora yegresii",1.74998862180546,1.71431287660439,1.77774850072612
"Cladophialophora carrionii",1.44364019006928,1.41668708607844,1.47063815147549
"Cladophialophora bantiana",1.35004673690366,1.32503023263179,1.37502234902369
"Cladophialophora psammophila",1.53892304066033,1.50836676420129,1.56760437894175
"Ascosphaera apis",1.34158677784299,1.32438415460472,1.36361862629606
"Uncinocarpus reesii",1.36903394143075,1.34460362986379,1.39285561527139
"Nannizzia gypsea",2.00111841090265,1.97500261070889,2.03449172818292
"Microsporum canis",1.47496225345362,1.44467069943757,1.50002104877966
"Trichophyton tonsurans",1.00000604240761,1.00002722041572,1.00005231259721
"Trichophyton interdigitale",1.000034623771,1.00002803582777,1.0000236870494
"Trichophyton soudanense",1.00006914066953,0.999946154455146,1.00001485462671
"Trichophyton rubrum",0.999984191883495,0.99998253354377,1.0000655791844
"Trichophyton equinum",1.00000077562881,1.00002430046223,1.00007381708628
"Trichophyton mentagrophytes",1.1662922842332,1.14826754797368,1.18451775282447
"Trichophyton verrucosum",1.51661595804143,1.50230828073144,1.54759784055069
"Trichophyton benhamiae",3.59998240449913,3.49999275623978,3.83340269166366
"Coccidioides immitis",1.39281087647075,1.34091188105139,1.44371862624131
"Coccidioides posadasii",1.50000959405545,1.42777679446211,1.54164281641359
"Paracoccidioides brasiliensis",1.28809414044428,1.26608198234102,1.31147680999867
"Paracoccidioides lutzii",1.48330228838339,1.46255800514745,1.50279629960678
"Emergomyces pasteurianus",1.15276677754255,1.13850188146372,1.16667050318974
"Polytolypa hystricis",1.49213278404926,1.4706089654355,1.51316416568395
"Helicocarpus griseus",1.44879315132205,1.42060629281764,1.47501818003212
"Histoplasma capsulatum",1.1643971240492,1.15081491455833,1.17814673437178
"Emmonsia sp. CAC-2015a",1.16671573192455,1.15335464529374,1.1833029500782
"Emmonsia crescens",1.40478933995105,1.38625951199933,1.42377116544213
"Blastomyces parvus",1.97849629833717,1.93415543485399,2.01470256929124
"Blastomyces percursus",1.19670591023591,1.18096704498763,1.21427742450482
"Blastomyces gilchristii",1.19959590376949,1.18187359478379,1.2168039739199
"Blastomyces dermatitidis",1.25096687790401,1.23401017807617,1.26893658689343
"Blastomyces silverae",1.36905011742801,1.34702674613899,1.38889619449799
"Byssochlamys spectabilis",1.21159570897447,1.19618279699057,1.22729804083245
"Elaphomyces granulatus",1.23430883834378,1.21900426196656,1.24998061100985
"Rasamsonia emersonii",1.30001376445152,1.27975701650057,1.32130939034232
"Talaromyces marneffei",1.00001162508705,1.00000529767569,1.00000045682584
"Talaromyces cellulolyticus",1.36365202793096,1.33486672192688,1.39995326935261
"Talaromyces stipitatus",1.23334901204063,1.2149196109713,1.25004038056868
"Talaromyces islandicus",1.23521117706131,1.21860948331923,1.2513418670201
"Talaromyces rugulosus",1.53810561963085,1.51406528812633,1.56257348503526
"Penicilliopsis zonata",1.90790225934214,1.86912905077767,1.94728245145215
"Penicillium chrysogenum",1,1,1
"Penicillium rubens",1.00001804268908,1.00001651345324,1.00004401653703
"Penicillium flavigenum",2.37503827122475,2.31815110616267,2.44998781568998
"Penicillium solitum",2.08333898768755,2.03132846036852,2.14769636707318
"Penicillium digitatum",1.00000270832408,1.00003096536432,1.00004827943142
"Penicillium roqueforti",1.37502757479979,1.34602542650352,1.4038257779531
"Penicillium nordicum",1.70831583554825,1.67107097315555,1.74994042805042
"Penicillium nalgiovense",2.3714433838523,2.30563323666122,2.4375066831979
"Penicillium sp. 'occitanis'",2.07248540080168,2.00997945785782,2.13383305534636
"Penicillium griseofulvum",1.43610084321867,1.41245951029641,1.4615874587532
"Penicillium antarcticum",1.47520235170984,1.44586506088294,1.50003060086474
"Penicillium brasilianum",1.26119292591454,1.24298861182166,1.27971741549838
"Penicillium vulpinum",1.5211299986703,1.49994882370964,1.55161034788758
"Penicillium freii",1.72227762602277,1.67754547197478,1.76183853568953
"Penicillium camemberti",1.88601013786616,1.83553841836668,1.94442776254538
