"","Aspergillus rambellii","Rhizophagus irregularis","Moniliophthora perniciosa","Erysiphe pulchra","Sphaerulina musiva","Phytophthora capsici","Trichophyton mentagrophytes","Aspergillus kawachii","Pneumocystis murina","Debaryomyces hansenii","Trichoderma atroviride","Pseudocercospora musae","Cordyceps sp. RAO-2017","Rhizophagus clarus","Pichia kudriavzevii","Paracoccidioides brasiliensis","Albugo candida","Lipomyces starkeyi","Naumovozyma dairenensis","Phytopythium vexans","Aspergillus ochraceoroseus","Colletotrichum fioriniae","Coniochaeta ligniaria","Leucoagaricus sp. SymC.cos","Colletotrichum salicis","[Candida] arabinofermentans","Baudoinia panamericana","Hyaloscypha variabilis","Schizosaccharomyces pombe","Tuber magnatum","Thielaviopsis punctulata","Edhazardia aedis","Choanephora cucurbitarum"
"Aspergillus ochraceoroseus",0.341505837861995,-0.00134566253538159,0.267262745539579,0.358621598374202,0.368251866580192,0.0776024803740181,0.0273547090654772,-0.018207384120387,0.0692839558259519,0.0151376295321215,-0.0508378571861374,-0.103318375471714,0.156432259866049,-0.00408853917037247,0.0422466992411853,0.0289729408788836,0.027693769602338,-0.0634464464846354,-0.0925791074462195,0.14073980982987,1,-0.0242975217739637,0.0846292663487867,-0.0223253538479492,0.0998505709944867,0.0334293299546968,-0.0473450463531276,-0.0760882493531208,-0.0437310508728661,-0.0321435554659744,0.382820312983396,0.0137404795513732,-0.086010771327456
"Colletotrichum fioriniae",-0.0286310591121397,0.0483909532134289,0.135353381014898,-0.000193831316741723,0.085147218507781,0.159698474644357,-0.0947588922440864,-0.00619253547456132,0.105483284693834,0.147852002127464,0.310988081265527,0.351311278796181,0.22150867191565,0.137269568835925,0.165738471348647,0.141703772785839,0.231131630571488,0.162297083842143,0.141221086000384,0.220273229702293,-0.0242975217739637,1,0.194107861389129,0.276195904920706,0.262945101110635,0.100961237904378,0.25024507831638,0.182198039437588,0.165771428443191,0.196845037756232,-0.000132277210201183,0.179320641432261,0.200242754007669
"Coniochaeta ligniaria",0.0496603784231056,-0.0568351507290154,0.126324226841124,0.0426192298234776,0.158610121098087,0.303235982735356,-0.112522381489911,-0.0590450713915428,0.0376538652292073,0.0774188439561722,0.126935916724988,0.131250603118036,0.323102185908149,0.130231626179346,0.0276849211995228,0.104973411511323,0.0311074577608988,-0.00260534167818936,-0.0402701712326242,0.330995089457032,0.0846292663487867,0.194107861389129,1,0.00663649446798497,0.174855019240467,0.0711764881266296,0.0911354071723999,0.0467984971821364,0.0720567118501594,0.218846720299317,0.105815548631431,0.0356459189787661,0.0497693804867712
"Leucoagaricus sp. SymC.cos",-0.0231537695318073,0.211318902528752,0.109088242912004,0.0847911023538996,0.0213734452378441,0.0245100116792505,-0.0119342512375742,0.184604035576991,0.242479001874515,0.22439414889746,0.316745185555175,0.420842156355766,-0.111258342264556,0.441055114328738,0.321942916901636,0.228721915538148,0.359849089848798,0.245370121316091,0.30208184323772,0.0528629872913212,-0.0223253538479492,0.276195904920706,0.00663649446798497,1,0.0975334435964013,0.363984371668825,0.413119552501645,0.282371320659386,0.342206785250225,0.326782298410535,-0.140379974782052,0.414187516250124,0.395555857626634
"Colletotrichum salicis",-0.028266479268609,-0.0855466790116847,0.114604901649839,-0.0386561712640424,0.066803838283256,0.229367207755048,-0.021047977899511,0.0612038252030083,0.111002892722413,0.157390323886808,0.189757524909376,0.155499971627404,0.305337414285105,-0.00215214956878463,0.100728742914465,0.093089878292784,0.156353906617932,0.0792000659141891,0.0144101369354455,0.376325457079315,0.0998505709944867,0.262945101110635,0.174855019240467,0.0975334435964013,1,0.0380953877059137,0.0354668991189107,0.0336256619070168,0.0399872788179816,0.0736657770281286,0.0506004891627904,0.0637878153004914,0.121228183958295
"[Candida] arabinofermentans",-0.0536545987489769,0.401315270195277,0.0176873166060257,0.22831758200081,-0.0571570274111337,-0.0896806784544918,0.056886958768687,0.119044167315603,0.340397222755656,0.236131362875244,0.0954856154144307,0.368091056476855,-0.0267442975089502,0.566931466876036,0.390852482698327,0.264627580022743,0.306204814236439,0.119698051459874,0.414327423604782,-0.0292018452125813,0.0334293299546968,0.100961237904378,0.0711764881266296,0.363984371668825,0.0380953877059137,1,0.352973752623664,0.245903846714886,0.302449500786578,0.377983775298779,0.0174058983581404,0.524194963655827,0.237960802216717
"Baudoinia panamericana",-0.0323112252569323,0.149570002888555,0.0620081983019466,0.0823580480551627,0.0366018029582519,0.0435229210501259,0.00918739923320254,0.127360383584674,0.082553354105707,0.1118227164789,0.312354582430727,0.372928824537775,0.0441193546949593,0.345946581935729,0.275242329220215,0.187725598204928,0.251348563913841,0.21870103523107,0.284854387669687,0.165523031975755,-0.0473450463531276,0.25024507831638,0.0911354071723999,0.413119552501645,0.0354668991189107,0.352973752623664,1,0.363963853633311,0.281469040047679,0.335092744248546,-0.0282668639817749,0.279406721003127,0.20532725144564
"Hyaloscypha variabilis",-0.0322292813526002,0.14596690761466,0.0633938069321404,0.0658384647123452,0.0457107848244762,0.0805436125271583,-0.000881698457332264,0.097198999617531,0.11773178246907,0.223715771348295,0.248080297331982,0.370395360102744,0.0745072064790827,0.312539885938958,0.146627203645029,0.18048285990638,0.270079222058684,0.198889333090109,0.260612841661358,0.14962206740367,-0.0760882493531208,0.182198039437588,0.0467984971821364,0.282371320659386,0.0336256619070168,0.245903846714886,0.363963853633311,1,0.269210796205574,0.309006561892384,-0.0493245238292938,0.298882696787998,0.284715249741361
"Schizosaccharomyces pombe",-0.0429712423702563,0.247363320228507,0.101458226448525,0.0368959802924269,0.0124878534832732,-0.0189365438074485,-0.043589091714657,0.172572516027311,0.205166056629137,0.199897025109267,0.241733812472208,0.351909636006844,-0.0327907060993387,0.410589294009663,0.307666852504499,0.162519832765187,0.252432044426676,0.2244019713985,0.231757045941484,0.0292917398556749,-0.0437310508728661,0.165771428443191,0.0720567118501594,0.342206785250225,0.0399872788179816,0.302449500786578,0.281469040047679,0.269210796205574,1,0.321901698794011,-0.0779324360326198,0.385310304830683,0.251172493521591
"Tuber magnatum",-0.0571754313572466,0.337293303627919,0.0891385592003711,0.194834270211444,0.11761784702387,0.107594401641007,0.0471360844963507,0.123056857818569,0.262022887933468,0.199110421306134,0.232393368968246,0.407690557493958,-0.0179875852416202,0.49783129166584,0.320408178117329,0.321429655724345,0.303370642069303,0.21551234706489,0.259100157799728,0.0659535601822374,-0.0321435554659744,0.196845037756232,0.218846720299317,0.326782298410535,0.0736657770281286,0.377983775298779,0.335092744248546,0.309006561892384,0.321901698794011,1,0.0463743524034908,0.381052888796829,0.254349462999713
"Thielaviopsis punctulata",0.318568725961438,0.116850661081486,0.182205290710276,0.347021214045749,0.329919816158402,0.158114867015879,0.0750079747833344,0.0758109993982445,-0.0413789145766857,-0.0906243798503915,-0.0488296544602522,-0.105901339667422,0.116188056772122,-0.0763821702118519,0.0297834032816674,0.0341006544291546,-0.0083239746512495,-0.128215857427865,-0.077451031624384,0.0830123169125999,0.382820312983396,-0.000132277210201183,0.105815548631431,-0.140379974782052,0.0506004891627904,0.0174058983581404,-0.0282668639817749,-0.0493245238292938,-0.0779324360326198,0.0463743524034908,1,-0.10841762024771,-0.108269249203403
"Edhazardia aedis",-0.0348532816193347,0.423831249416919,0.0687745977992034,0.20858448958341,-0.115980824613435,-0.100480731160196,0.102843895900464,0.224335159545359,0.387505221679741,0.25961489570907,0.179553649373062,0.415129935268804,-0.0869680659218833,0.705483861763583,0.410526329288181,0.344481722437786,0.330085627532895,0.300594285662991,0.424765461221394,-0.040542676391788,0.0137404795513732,0.179320641432261,0.0356459189787661,0.414187516250124,0.0637878153004914,0.524194963655827,0.279406721003127,0.298882696787998,0.385310304830683,0.381052888796829,-0.10841762024771,1,0.453652033994538
"Choanephora cucurbitarum",-0.0363216035357705,0.265786977266978,0.0679770232619068,0.0601049561635377,-0.0982415722970614,-0.0163026692361232,0.0546993514697806,0.140555403985693,0.202393044129485,0.231826935499952,0.220472895835384,0.365470775104057,-0.0508520915732749,0.384870192968918,0.300568638118599,0.231402981591154,0.226079961990339,0.393356837170473,0.286724350131299,0.00576358029460693,-0.086010771327456,0.200242754007669,0.0497693804867712,0.395555857626634,0.121228183958295,0.237960802216717,0.20532725144564,0.284715249741361,0.251172493521591,0.254349462999713,-0.108269249203403,0.453652033994538,1
