"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_86",52.04,49.63,58.89,56.2,41.94,54.44,54.44,42.22,53.15,51.39,52.13,42.96,40.93,35.93,45.56,48.89,38.06,72.41,55.28,56.3,62.41,46.02,49.35,49.81,58.15,39.44,39.91,35.93,63.52,55.19,48.24,28.89,49.26,51.48,71.85,74.54,46.02,29.44,45.65,36.02,59.91,33.98,20.37,37.59,68.33,32.87,43.24,71.3,64.91,58.15,42.04,30.74,54.54,52.59,40.65,50.19,48.98,41.85,47.69,44.35,53.8,57.04,67.5,48.06
"Seed_87",52.87,48.15,61.94,55.74,43.52,54.91,50.65,41.57,51.48,50.37,52.59,42.69,43.61,35.09,44.81,48.98,38.43,70.19,55.65,55.65,63.15,48.8,49.35,50.74,57.59,38.43,41.39,33.33,61.11,55.37,47.5,29.44,47.69,50.93,69.63,73.7,47.59,28.43,44.07,37.78,60.37,35.09,19.26,36.76,68.33,31.94,42.22,72.78,63.52,59.26,41.39,30.19,54.72,54.72,41.67,48.52,49.81,41.85,47.59,42.41,53.43,56.11,68.24,48.7
"Seed_88",49.72,50.56,59.07,58.15,41.85,54.44,53.8,42.69,53.52,51.39,53.8,43.24,42.59,32.13,45.56,48.33,38.52,70,57.13,57.41,61.94,48.33,48.8,49.35,57.69,38.61,40.93,33.24,64.63,55.09,49.07,27.59,48.89,50.46,69.35,74.72,46.3,28.61,45.74,37.59,59.26,36.11,18.61,38.52,69.26,32.04,44.54,73.15,64.17,58.61,41.39,29.81,55.83,53.24,42.41,50.83,49.63,41.2,50.09,44.17,55.09,56.76,68.7,47.31
"Seed_89",53.33,47.04,59.17,55.65,43.15,53.15,54.17,41.85,52.41,51.85,52.69,42.04,41.3,33.98,46.39,47.31,37.96,69.63,57.59,55.19,60.93,47.04,50.83,48.52,56.02,39.54,40.19,35.09,63.8,56.2,50.09,28.52,48.33,50.28,71.2,74.72,46.39,29.63,44.63,35.93,60.28,36.48,19.54,38.06,67.5,33.98,42.5,70.93,63.8,58.06,40.37,31.48,53.98,54.44,40.46,50,51.67,42.96,47.96,43.8,54.26,57.41,67.5,47.13
"Seed_90",51.11,48.89,59.91,55.65,41.57,53.43,53.61,42.04,51.11,51.02,53.7,42.96,41.94,34.63,48.33,48.89,36.76,71.94,55.28,54.81,62.69,46.94,49.63,50.56,57.13,40.65,40.83,34.91,62.96,57.13,47.41,27.41,48.7,50.56,70.56,73.8,44.44,28.89,44.44,36.76,61.57,38.24,19.54,37.69,68.61,34.17,44.72,71.39,65.46,56.76,39.54,31.3,52.41,54.26,41.3,49.26,50.09,41.02,48.89,42.96,55.09,56.94,67.5,50
"Seed_91",53.15,49.91,59.35,55.37,41.2,51.76,50.74,42.41,52.04,51.48,53.33,42.13,42.31,34.63,45.56,46.94,37.69,68.52,57.22,53.98,62.31,46.94,50.46,49.91,57.78,38.43,41.39,35.09,63.24,56.11,47.59,28.89,48.24,47.96,69.81,72.78,47.31,28.61,44.44,38.7,60,32.87,19.81,38.24,66.94,33.15,42.87,70.46,64.63,57.87,40.65,31.57,54.17,53.98,41.57,48.7,49.72,42.22,47.69,45.09,54.72,56.67,68.43,47.96
"Seed_92",49.72,50.28,59.81,56.76,43.7,54.07,53.89,43.15,51.85,50.56,56.02,43.33,40.56,33.43,46.3,48.52,37.78,71.2,56.11,57.41,61.94,47.78,50.37,50.65,56.11,37.59,40.74,33.61,63.33,55.65,46.3,27.04,47.96,51.94,69.17,73.89,45.28,29.72,41.85,37.87,60.19,33.33,19.17,39.07,66.57,32.87,44.26,71.76,64.81,57.41,40.09,31.11,55.37,52.96,40.74,49.63,49.17,41.2,48.06,45.56,54.91,56.02,68.24,48.7
"Seed_93",49.91,49.07,60.37,56.39,43.43,54.44,54.81,43.8,53.43,51.2,55.09,40.83,41.94,33.8,46.67,47.87,38.06,70,56.48,54.91,61.94,46.02,50.74,48.98,55.09,39.81,40.93,32.78,64.44,54.44,47.78,30,48.43,51.39,68.52,74.07,46.67,29.72,45.74,35.74,59.63,34.17,19.72,38.61,65.46,32.87,44.72,73.33,64.91,56.2,40.28,30.19,52.59,52.78,41.02,48.33,48.98,42.5,47.69,43.52,54.07,56.57,67.5,48.52
"Seed_94",49.72,48.8,59.17,56.85,42.41,53.98,52.59,43.61,52.87,50.46,52.78,42.59,41.48,33.98,45.93,48.89,39.17,71.39,57.13,53.24,62.13,46.02,50.28,49.26,57.04,39.81,40,34.35,63.33,56.57,47.41,29.07,47.69,49.91,70.46,74.07,45,29.54,45.37,37.41,58.7,37.41,19.07,38.06,65.65,33.24,43.89,71.3,66.02,57.31,39.63,30.74,54.72,51.57,41.94,47.41,50.83,40.83,49.44,45.46,54.35,56.57,68.06,48.8
"Seed_95",50.83,50.46,58.52,58.24,43.61,54.07,54.26,44.44,52.31,52.41,55.09,41.48,42.41,34.07,45.65,48.43,38.89,70.93,57.04,55,62.04,47.59,51.11,50.46,59.44,38.89,41.2,36.57,63.98,55.09,47.78,29.35,47.41,49.81,70.83,74.07,46.39,30.83,45.28,36.11,59.07,34.63,19.17,37.96,70.83,33.43,43.61,70.83,63.89,59.17,39.91,32.31,54.17,54.54,42.59,48.15,49.17,43.89,47.96,45.19,53.8,57.87,68.15,48.52
