"","N.count","P.count","Missing","2014_ZellerG-Median","2015_FengQ-Median"
"Scleroderma citrinum",2,0,0,-0.21747032579738,-0.464340097971614
"Suillus luteus",1,1,0,0.0025598736776353,-0.145156399951577
"Rhizopogon vinicolor",0,2,0,0.154803211657346,0.204169517526793
"Rhizopogon vesiculosus",2,0,0,-0.646286987991483,-0.490674661779969
"Schizophyllum commune",1,1,0,0.303532029739627,-0.325053665928863
"Amanita muscaria",2,0,0,-0.463289111035696,-0.798957488840613
"Amanita thiersii",2,0,0,-0.309913506523017,-0.0107731550759245
"Hebeloma cylindrosporum",1,1,0,0.0349875302838972,-0.201155192329254
"Fistulina hepatica",2,0,0,-0.363113157872772,-0.158159667356431
"Laccaria bicolor",0,2,0,0.219472324449181,0.31186900775904
"Laccaria amethystina",1,1,0,-0.182517858570936,0.138307776811384
"Pleurotus ostreatus",2,0,0,-0.0201569670662815,-0.364459060770275
"Coprinopsis cinerea",0,2,0,0.0994921715939494,0.248154148921797
"Moniliophthora perniciosa",0,2,0,1.13807804142361,0.226280132490179
"Moniliophthora roreri",2,0,0,-0.357606653656533,-0.115767064775442
"Hypsizygus marmoreus",1,1,0,0.0190548108843556,-0.0736232161717176
"Termitomyces sp. J132",1,1,0,-0.327764852649637,0.173113832019496
"Gymnopus luxurians",2,0,0,-0.0246732393168499,-0.128758805222814
"Lentinula edodes",2,0,0,-0.21294875957557,-0.42686656508034
"Cylindrobasidium torrendii",2,0,0,-0.196680689701048,-0.170864933835313
"Armillaria solidipes",1,1,0,0.1397513691394,-0.0855578423424702
"Armillaria ostoyae",0,2,0,0.0222413958228328,0.0414842570357755
"Armillaria gallica",2,0,0,-0.255950465344468,-0.00724005925344776
"Hypholoma sublateritium",0,2,0,0.141190602752253,0.230979234886147
"Galerina marginata",2,0,0,-0.173145660085255,-0.221085584810191
"Agaricus bisporus",2,0,0,-0.25151473249211,-0.189115457691993
"Leucoagaricus sp. SymC.cos",2,0,0,-0.498314891474215,-0.291982896394443
"Protomyces lactucaedebilis",0,2,0,0.386398774004528,0.805533737820314
"Neolecta irregularis",1,1,0,-0.555354503749178,0.15981935042141
"Saitoella complicata",1,1,0,-0.649507162473667,0.00681422860487585
"Schizosaccharomyces pombe",2,0,0,-0.836285604390017,-0.365623537661196
"Pneumocystis jirovecii",2,0,0,-0.40131780070001,-0.413172980645662
"Pneumocystis murina",2,0,0,-0.979882437537752,-0.0688842243775544
"Pneumocystis carinii",1,1,0,-0.607176451756098,0.294606442601564
"Tortispora caseinolytica",1,1,0,0.000752612655796007,-0.352689906210346
"Yarrowia lipolytica",1,1,0,-0.232790000585328,0.575560306377222
"Sugiyamaella lignohabitans",2,0,0,-1.17348610110697,-0.290606694107341
"Lipomyces starkeyi",1,1,0,-0.646049457140178,0.0639002061401793
"Metschnikowia bicuspidata",2,0,0,-0.24624034478495,-0.217495049580529
"Clavispora lusitaniae",2,0,0,-0.273641600971851,-0.140990869032824
"[Candida] intermedia",1,1,0,-0.251177224523078,0.18524520114011
"Kuraishia capsulata",1,1,0,0.133240980084533,-0.606227052851837
"Nadsonia fulvescens",1,1,0,-0.130526468449915,0.176001079840982
"Ascoidea rubescens",2,0,0,-0.841002645886004,-0.152593879328572
"Komagataella phaffii",1,1,0,-0.0922528909300059,0.0172151073486409
"Komagataella pastoris",2,0,0,-0.806322683251642,-0.485266806930562
"Wickerhamomyces anomalus",1,1,0,-0.138189583936718,0.519653526195861
"Cyberlindnera jadinii",0,2,0,0.243198007806235,0.0571423625684172
"Cyberlindnera fabianii",2,0,0,-0.803126305566244,-0.558100020845553
"Hanseniaspora osmophila",2,0,0,-0.414599945858255,-0.0207695639888656
"Hanseniaspora opuntiae",2,0,0,-0.569639510398731,-0.215518836041374
"Hanseniaspora uvarum",1,1,0,-0.801281133906631,0.351113624925568
"Hanseniaspora guilliermondii",2,0,0,-0.969076747318952,-0.199918513857015
"Hanseniaspora valbyensis",1,1,0,-0.579981830283672,0.523917547630571
"Brettanomyces nanus",2,0,0,-0.270746319654354,-0.425248658351354
"Brettanomyces bruxellensis",2,0,0,-0.481294402471004,-0.494463483553234
"Ogataea parapolymorpha",1,1,0,-0.0076402982874332,0.173541920586597
"[Candida] arabinofermentans",2,0,0,-0.824390909048076,-0.185968284374744
"Pichia membranifaciens",0,2,0,0.0896614926459737,0.0126579409084449
"Pichia kudriavzevii",2,0,0,-0.812416264567095,-0.216480112400688
"Millerozyma farinosa",1,1,0,-0.16690791421779,0.000436554007138806
"Yamadazyma tenuis",2,0,0,-0.215577977009486,-0.115255890178361
"Scheffersomyces stipitis",1,1,0,-0.0709636144045056,0.272576671952553
"Debaryomyces hansenii",1,1,0,-0.812526832753455,0.0135668776214763
"Suhomyces tanzawaensis",1,1,0,-0.306667102750723,0.0477064867388952
"Babjeviella inositovora",2,0,0,-0.166337187131661,-0.147990473998352
"Meyerozyma guilliermondii",1,1,0,-0.530333498452063,0.159529997681261
"Hyphopichia burtonii",1,1,0,-0.999775627124427,0.218969751603882
"Spathaspora passalidarum",2,0,0,-0.352489271456849,-0.0462032064565755
"Lodderomyces elongisporus",2,0,0,-0.0908725725321811,-0.279530983858595
"Candida dubliniensis",1,1,0,-0.0426697756788456,0.513449548114989
"Candida maltosa",1,1,0,-0.498232228410861,0.259188475272793
"Candida parapsilosis",2,0,0,-0.334831592726001,-0.262134420516204
"Candida orthopsilosis",2,0,0,-0.310818380386504,-0.0830383488736902
"Candida tropicalis",2,0,0,-0.551003104380582,-0.0907515778033956
"Candida albicans",1,1,0,-0.477779610918252,0.319917641595046
"Saccharomycetaceae sp. 'Ashbya aceri'",1,1,0,0.215066299448333,-0.112122091352573
"[Candida] glabrata",2,0,0,-0.154175995393386,-0.192529804528944
"Kazachstania africana",1,1,0,-0.399391986278354,0.358938657464113
"Kazachstania naganishii",1,1,0,-0.475376156353384,0.523417101606954
"Eremothecium gossypii",0,2,0,0.0169993214646651,0.0214708147412349
"Eremothecium cymbalariae",1,1,0,0.235869601736864,-0.709157924965751
"Eremothecium sinecaudum",2,0,0,-0.712171773219014,-0.475024324234273
"Torulaspora globosa",2,0,0,-0.653476001192498,-0.273229898074015
"Torulaspora delbrueckii",2,0,0,-0.943660620247129,-0.699080765041582
"Zygotorulaspora mrakii",2,0,0,-1.04815400590205,-0.358381751187357
"Pachysolen tannophilus",1,1,0,-0.770227567327289,0.224061447401042
"Naumovozyma castellii",2,0,0,-0.00378613758885149,-0.0653237721710359
"Naumovozyma dairenensis",2,0,0,-0.656721611260575,-0.599118380790479
"Zygosaccharomyces bailii",2,0,0,-0.552809972262316,-0.615111755978803
"Zygosaccharomyces parabailii",2,0,0,-0.856427450383548,-0.00886237117792593
"Zygosaccharomyces rouxii",0,2,0,0.12453226924106,0.293393189843356
"Vanderwaltozyma polyspora",2,0,0,-0.301487563894769,-0.222356422119331
"Lachancea mirantina",1,1,0,0.71506896804971,-0.0266974130350761
"Lachancea thermotolerans",1,1,0,-0.0406539685306306,0.0849733687136343
"Lachancea dasiensis",0,2,0,0.1310760491259,0.335639702985092
"Lachancea meyersii",1,1,0,-0.422779931303162,0.796841899886433
"Lachancea sp. PJ-2012a",1,1,0,0.151267924648139,-0.0347455499270204
"Lachancea quebecensis",1,1,0,0.117355795185481,-0.17641809287883
"Lachancea fermentati",1,1,0,-0.327243008105985,0.205643136549939
"Lachancea nothofagi",0,2,0,0.136727297441534,0.29677468116726
"Kluyveromyces lactis",1,1,0,-0.657389346454068,0.281862811581885
"Kluyveromyces marxianus",0,2,0,0.163800578830538,0.102422694819799
"Kluyveromyces dobzhanskii",1,1,0,0.0722389869455797,-0.0382262066993154
"Tetrapisispora phaffii",2,0,0,-0.218377940093623,-0.166890970990723
"Tetrapisispora blattae",1,1,0,-0.591398756243002,0.057914149201888
"Saccharomyces sp. 'boulardii'",0,2,0,0.0771622003542904,0.22110907208163
"Saccharomyces cerevisiae x Saccharomyces kudriavzevii",1,1,0,0.347088931695779,-0.281907289577917
"Saccharomyces kudriavzevii",2,0,0,-0.301458702104548,-0.0723045120424007
"Saccharomyces paradoxus",1,1,0,0.168821206291625,-0.471251745838781
"Saccharomyces arboricola",1,1,0,-0.0734852471737481,0.197233431656983
"Saccharomyces eubayanus",2,0,0,-0.303273235392551,-0.236939500467984
"Saccharomyces cerevisiae",1,1,0,-0.370678323812714,0.00311669107445495
"Drechslerella stenobrocha",1,1,0,0.441423213785442,-0.0409036606346994
"Arthrobotrys oligospora",1,1,0,-0.238428704473561,0.138787117262717
"Dactylellina haptotyla",2,0,0,-0.129804493416951,-0.0522890159363385
"Tuber borchii",1,1,0,-0.413994029204037,0.092629867530475
"Tuber magnatum",2,0,0,-0.225622106962112,-0.509221829112142
"Umbilicaria pustulata",1,1,0,-0.359537420435159,0.158936775107976
"Xylona heveae",0,2,0,0.139878552164807,0.0379293830117813
"Coniosporium apollinis",2,0,0,-0.0952088934388449,-0.410171749872146
"Diplodia seriata",1,1,0,0.184365820366536,-0.256780202388396
"Macrophomina phaseolina",1,1,0,0.101784219666448,-0.252282543228608
"Neofusicoccum parvum",1,1,0,0.33924468212683,-0.290051269055242
"Cenococcum geophilum",2,0,0,-0.43420841437838,-0.153778953410011
"Clohesyomyces aquaticus",2,0,0,-0.15365929963321,-0.212129866760663
"Corynespora cassiicola",1,1,0,0.498717805987296,-0.0662034863752838
"Stagonospora sp. SRC1lsM3a",0,2,0,0.299350367490635,0.220850682091595
"Periconia macrospinosa",2,0,0,-0.34731963828905,-0.146753244080122
"Pyrenochaeta sp. DS3sAY3a",0,2,0,0.431453462850914,0.552630691847089
"Epicoccum nigrum",1,1,0,0.0651455474994947,-0.254299291752901
"Ascochyta rabiei",2,0,0,-0.00625960682598464,-0.0649665275361911
"Exserohilum turcicum",1,1,0,0.292005362071965,-0.307900771790463
"Bipolaris victoriae",1,1,0,0.194929256605354,-0.51346405563361
"Bipolaris zeicola",1,1,0,-0.184512104180911,0.36991639739928
"Bipolaris maydis",2,0,0,-0.148953737119699,-0.0697137417771364
"Bipolaris sorokiniana",1,1,0,-0.504848992016113,0.247848416182493
"Bipolaris oryzae",1,1,0,-0.0427990733519366,0.0315411812176842
"Stemphylium lycopersici",0,2,0,0.537413387178093,0.0802677596759148
"Elsinoe australis",0,2,0,0.235196226531102,0.54558886692656
"Aureobasidium melanogenum",1,1,0,0.0799753763969354,-0.158655236878797
"Aureobasidium namibiae",2,0,0,-0.47471043546276,-0.603040413406748
"Aureobasidium subglaciale",1,1,0,0.134632568211302,-0.155665558595328
"Acidomyces richmondensis",2,0,0,-0.158884273753618,-0.514218141617735
"Rachicladosporium sp. CCFEE 5018",1,1,0,0.548026158083531,-0.649121223519935
"Rachicladosporium antarcticum",0,2,0,0.211492054913469,0.150943647387771
"Hortaea werneckii",2,0,0,-0.338561273832813,-0.731590416156642
"Baudoinia panamericana",2,0,0,-0.916975340277136,-0.841491608636976
"Sphaerulina musiva",0,2,0,0.907130062812722,0.107922817692732
"Cercospora beticola",2,0,0,-0.0346626622898941,-0.0729026291572794
"Cercospora zeina",1,1,0,0.0860363899426933,-0.226243939841135
"Cercospora berteroae",1,1,0,0.379456103455154,-0.350226325629372
"Zymoseptoria brevis",2,0,0,-0.503034688556876,-0.722222820779391
"Zymoseptoria tritici",0,2,0,0.140254987832343,0.147125262246477
"Pseudocercospora eumusae",1,1,0,0.358016391200786,-0.0419123400795722
"Pseudocercospora musae",2,0,0,-0.403503156369979,-0.598749641833551
"Pseudocercospora fijiensis",2,0,0,-0.394535118234066,-0.204750308843805
"Phaeomoniella chlamydospora",2,0,0,-0.00324051816418629,-0.159681106422229
"Endocarpon pusillum",2,0,0,-0.277242901281583,-0.279014682151077
"Cyphellophora europaea",1,1,0,0.0299925632396285,-0.18651419848297
"Phialophora americana",1,1,0,-0.0988250755471025,0.160328668878254
"Rhinocladiella mackenziei",2,0,0,-0.00840704696265758,-0.498314447006741
"Capronia coronata",2,0,0,-0.313621676298239,-0.744586903088226
"Capronia epimyces",0,2,0,0.261046402874199,0.302668140318446
"Exophiala dermatitidis",1,1,0,0.122303583165904,-0.187230585114028
"Exophiala aquamarina",1,1,0,-0.211943181026564,0.191008116206821
"Exophiala sideris",2,0,0,-0.098126342404945,-0.180069773929037
"Fonsecaea multimorphosa",1,1,0,0.257578813807163,-0.598053365515761
"Fonsecaea pedrosoi",2,0,0,-0.50210138002094,-0.338925999641887
"Cladophialophora yegresii",2,0,0,-0.120161041623392,-0.519602457182306
"Cladophialophora carrionii",1,1,0,0.403532905475851,-0.113162100427982
"Cladophialophora bantiana",1,1,0,0.370978569333681,-0.181882823557337
"Cladophialophora psammophila",2,0,0,-0.451627121130022,-0.675723817839823
"Ascosphaera apis",1,1,0,-0.320390869653461,0.00679818422775382
"Uncinocarpus reesii",1,1,0,0.000486780809710148,-0.258903065206277
"Nannizzia gypsea",2,0,0,-0.265228907813868,-0.445119683346213
"Microsporum canis",2,0,0,-0.434503944977713,-0.431130690287633
"Trichophyton tonsurans",1,1,0,-0.0429644007795043,0.768177108121974
"Trichophyton interdigitale",1,1,0,-0.299221786317944,0.0255454181008029
"Trichophyton soudanense",2,0,0,-0.0281540816767233,-0.0123718818635137
"Trichophyton rubrum",2,0,0,-0.0225475220759298,-0.0121776487991012
"Trichophyton equinum",1,1,0,-0.0661257838290174,0.129663655505309
"Trichophyton mentagrophytes",2,0,0,-1.53733040198713,-0.129877890184194
"Trichophyton verrucosum",2,0,0,-1.3402519742269,-0.906047763059811
"Trichophyton benhamiae",1,1,0,0.613321102729499,-0.149867403582312
"Coccidioides immitis",1,1,0,-1.09809255713094,0.259080719909326
"Coccidioides posadasii",1,1,0,-0.955662388883374,0.316959275321614
"Paracoccidioides brasiliensis",1,1,0,-0.387923252204632,0.223008670170581
"Paracoccidioides lutzii",2,0,0,-0.575243309193776,-0.585505050886874
"Emergomyces pasteurianus",1,1,0,-0.157843429872711,0.273293182733618
"Polytolypa hystricis",2,0,0,-0.62491888498325,-0.0716340268762201
"Helicocarpus griseus",2,0,0,-0.13981363625557,-0.409548531223704
"Histoplasma capsulatum",2,0,0,-0.296794547645172,-0.0168814029033613
"Emmonsia sp. CAC-2015a",2,0,0,-0.230579486388787,-0.473481889608085
"Emmonsia crescens",2,0,0,-0.1385576667541,-0.0493284763631004
"Blastomyces parvus",0,2,0,0.470909184074632,0.255884892268098
"Blastomyces percursus",2,0,0,-0.0411322458474416,-0.326885222833267
"Blastomyces gilchristii",2,0,0,-0.516797344930431,-0.103700725249339
