"","all-Median","all-low-CI","all-high-CI","all-p-value"
"Pseudogymnoascus sp. 24MN13",-0.344224124409792,-0.405241465313726,-0.28316750702143,3.49401437161431e-28
"Pseudogymnoascus sp. VKM F-4281 (FW-2241)",-0.0372746943636932,-0.0779940516208743,0.00330699118306237,0.071780712904917
"Pseudogymnoascus sp. VKM F-3808",0.20850087439914,0.154693748192333,0.262624491374249,2.22532621937416e-14
"Pseudogymnoascus sp. 03VT05",-0.0524967160293086,-0.0879666841941406,-0.0169915195089474,0.00386281661072006
"Pseudogymnoascus sp. 23342-1-I1",-0.257710354771556,-0.286058315340886,-0.229491149116967,4.06341312072797e-70
"Pseudogymnoascus sp. VKM F-103",-0.112696863888532,-0.179042153157544,-0.0469998055771379,0.000752502488438301
"Pseudogymnoascus sp. VKM F-4518 (FW-2643)",0.871950999755591,0.807326974140676,0.937191009334046,3.13662570458175e-148
"Pseudogymnoascus sp. VKM F-4513 (FW-928)",-0.629845305769798,-0.66972602190158,-0.590027824994242,1.07903880644928e-194
"Pseudogymnoascus destructans",0.0542390427503302,0.0179541512544695,0.0905947802407966,0.00337890406974425
"Glarea lozoyensis",-0.0127998412414322,-0.0449412093214175,0.0194399904872193,0.43712078324631
"Rutstroemia sp. NJR-2017a BBW",-0.544564646921062,-0.585654610451867,-0.503575201491527,1.90973282043674e-147
"Rutstroemia sp. NJR-2017a BVV2",-0.172269474030159,-0.198576638714508,-0.145927051543604,1.91341390801949e-37
"Rutstroemia sp. NJR-2017a WRK4",-0.54180235669747,-0.578308548109668,-0.50540318981092,9.36324846696221e-180
"Pezoloma ericae",-0.56829067696107,-0.596571147942088,-0.540121092207271,1.53874457083052e-307
"Diplocarpon rosae",0.159861766076364,0.137834871944119,0.181866459307773,1.83437347108018e-45
"Marssonina brunnea",0.144463627577637,0.116845685016326,0.172237439478104,2.01279082286174e-24
"Hyaloscypha variabilis",-0.42572630728205,-0.449604919852734,-0.401904774185393,1.11070546734217e-249
"Hyaloscypha bicolor",-0.0860136340635139,-0.112038564312638,-0.059999897523979,9.34331314181783e-11
"Phialocephala subalpina",-0.110630170128735,-0.136681492248989,-0.084628781771615,6.82457068040023e-17
"Cadophora sp. DSE1049",-0.331915608198166,-0.35232590081693,-0.311619982739075,4.86430733863303e-215
"Rhynchosporium secalis",-0.293006914075618,-0.332458236175623,-0.253622681664216,2.74154151826809e-47
"Rhynchosporium commune",-0.717261397155683,-0.76297804023183,-0.671811266592003,1.28945577958785e-210
"Rhynchosporium agropyri",-0.177901432689277,-0.211936107258808,-0.143938299940736,8.26001717553554e-25
"Botrytis cinerea",-0.0471641664399601,-0.0747491610676862,-0.0197808219748243,0.00073649320169548
"Sclerotinia sclerotiorum",0.263951101539136,0.233752686837981,0.29418870191919,7.72545499360569e-65
"Sclerotinia borealis",0.248037967686356,0.223535360206332,0.272580746841461,2.90982092047947e-85
"Microdochium bolleyi",0.138275033081763,0.112157699057617,0.164445656874191,5.83267657547632e-25
"Pestalotiopsis fici",-0.173849212784693,-0.197463152278468,-0.150309836996265,7.57021817833248e-47
"Eutypa lata",0.0772384485558358,0.0476562086404156,0.106776086240527,3.22670474665455e-07
"Pseudomassariella vexata",-0.0463054607076017,-0.0741334049989899,-0.0183843240502062,0.00114592499797569
"Rosellinia necatrix",0.0264996249879668,3.6563175212225e-05,0.0530395021270891,0.049887796384622
