"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2015_FengQ-p-value"
"Aspergillus saccharolyticus",-0.0323179496381086,-0.0752786979921314,0.010394059809938,0.140727473229357,-0.0472071806265148,-0.115900668606242,0.0228171637450742,0.190603784599103
"Aspergillus nomius",-0.258168597101421,-0.303625735099261,-0.212748306886141,8.29426884323201e-29,0.31645221736218,0.234362437557204,0.398779692905484,1.77230259474152e-13
"Aspergillus wentii",0.0572740831874541,0.00339708736457729,0.110262290552627,0.0370307386875967,-0.240217558859545,-0.306303928468077,-0.174977783506543,8.24578089695682e-13
"Aspergillus fumigatus",0.189002232366622,0.120468425562417,0.258918716835424,8.2147169861511e-08,-0.0549838224517662,-0.179222163107294,0.0736040694119903,0.397706788166257
"Aspergillus ruber",-0.514174244396085,-0.564345533975659,-0.464215881783919,5.60462273626284e-88,0.01431059416045,-0.0521325609639206,0.079279325668575,0.670539590364923
"Aspergillus sydowii",0.26020239521018,0.206399224267618,0.31398985400411,1.89295085148639e-20,0.115164814478228,0.0406205089342382,0.189005977646415,0.00240894150650566
"Aspergillus nidulans",-0.390855592009543,-0.446552321674967,-0.335130887994969,9.26696038528153e-42,-0.229638298801381,-0.314953353399303,-0.144530259070605,1.45512905011918e-07
"Aspergillus sclerotioniger",-0.329320442561814,-0.372221339983507,-0.28681353313471,1.08874694138132e-49,-0.424103634207626,-0.510542037997806,-0.338310946676314,6.17521001759148e-21
"Aspergillus brasiliensis",0.235273110683994,0.183541189017575,0.287018386921926,1.51022375053099e-18,-0.433842589109115,-0.525092776196759,-0.342288446650075,8.97020926061054e-20
"Aspergillus heteromorphus",-0.0772287641040831,-0.1285498525815,-0.0259550606314463,0.00323994800831248,-0.0248855221213009,-0.108802755281994,0.0602497435015773,0.568804155078499
"Aspergillus steynii",-0.0207372420923348,-0.0638338441871234,0.0222696205893492,0.343408360211827,-0.377713186236582,-0.442517775867405,-0.312976538280355,7.19857994219658e-28
"Aspergillus taichungensis",0.0513161308756267,0.00458149507608808,0.0980375114300911,0.0312759065602976,-0.588222371843024,-0.674444816216819,-0.501826236787876,5.4433387854127e-38
"Blumeria graminis",-0.010085694774737,-0.0583517672821333,0.0378657231746403,0.681657171641409,0.275850066099796,0.204620811309313,0.34735227681774,5.62795589715351e-14
"Erysiphe necator",-0.395948178060681,-0.448837486129788,-0.343262944158466,2.88927234788305e-47,-0.157577900576676,-0.228791639734276,-0.0862747544141643,1.78484126069799e-05
"Erysiphe pulchra",0.0901147321771892,0.0430015362695127,0.137305545693474,0.000192977075153349,0.776454434411226,0.704669267328774,0.848255117935656,7.50831431679846e-86
"Amorphotheca resinae",0.473146000144837,0.420114951208639,0.526575116537207,2.36950878242842e-63,0.402065339521038,0.317472252568757,0.484889621689294,1.18218965007957e-19
"Oidiodendron maius",-0.21775427948889,-0.267832366317322,-0.167434914136402,5.11323082968358e-17,-0.647178198270183,-0.721975510166187,-0.572287854324066,6.76514581685634e-53
"Pseudogymnoascus sp. VKM F-4516 (FW-969)",-0.00310490386450605,-0.009946679487218,0.00375699796022005,0.375979220098265,-0.0105016873080704,-0.0212453752887541,0.000396637273844765,0.0597466683722564
"Pseudogymnoascus sp. VKM F-4514 (FW-929)",0.0327285466553541,0.024051346981947,0.0415522357193229,1.33287286785127e-13,-0.0104088185678538,-0.0211420048395639,0.000499852964428703,0.0617026965822952
"Pseudogymnoascus sp. VKM F-4517 (FW-2822)",-0.151728316942833,-0.240459755506949,-0.0840084737242111,8.7483319517538e-07,0.130521661102923,0.0753701783338011,0.201722507927933,9.93849628533451e-07
"Pseudogymnoascus sp. VKM F-4515 (FW-2607)",-0.443936781685193,-0.591408087339226,-0.305869596925182,5.36792450093769e-29,-0.0790770482023069,-0.15097745085786,-0.0234994328486038,0.00450993515034908
"Pseudogymnoascus sp. VKM F-4246",0.104886254052955,-0.00979581216282181,0.229183476968139,0.0736992997119085,-0.0877036079816481,-0.219816062972375,0.0492746287718306,0.208225000701225
"Pseudogymnoascus sp. VKM F-4520 (FW-2644)",0.559189457589702,0.478430020159054,0.641373184035405,4.77845197811533e-43,0.875746131623079,0.753536965659669,1.002702524727,3.44143180895809e-45
"Pseudogymnoascus sp. VKM F-3557",-0.953399589134151,-1.08650175551522,-0.819383930334124,2.00724059257923e-47,0.0220221107741953,-0.162738700944448,0.212252441491431,0.826259222784095
"Pseudogymnoascus sp. 05NY08",-0.120890469748268,-0.219310385428957,-0.0208554654086379,0.0181153863266316,-0.401651270834349,-0.553985434672221,-0.247468067776216,2.09581627107038e-07
"Pseudogymnoascus sp. VKM F-4519 (FW-2642)",0.0313224655234853,-0.0796906470235842,0.142123810120715,0.577642351251384,-1.34305495801694,-1.53310024800541,-1.16362782801558,6.70916702613204e-58
"Pseudogymnoascus sp. WSF 3629",0.0323961510216777,-0.022779131322172,0.0873676087446564,0.249235995761108,-0.212034879809067,-0.328418761270957,-0.0965029041626375,0.000331465411183301
"Pseudogymnoascus sp. VKM F-3775",-0.218196875350555,-0.290982262245389,-0.146052128747861,2.62857388838699e-09,-0.377837035291681,-0.49202329583271,-0.266635906391143,8.5665224694422e-12
"Pseudogymnoascus sp. 24MN13",-0.116605588612125,-0.234720839413932,0.000214441495855647,0.0504469525974229,-0.443483294373435,-0.56317751144153,-0.322012863615512,1.84157021346129e-12
"Pseudogymnoascus sp. VKM F-4281 (FW-2241)",-0.256133446841994,-0.313964624540203,-0.198330721363626,6.58555928978466e-18,0.0569701387444416,-0.0519629258579139,0.166571588544592,0.304428230050272
