"","all-Median","all-low-CI","all-high-CI","all-p-value"
"Galerina marginata",-0.0370355587142724,-0.0434428933487745,-0.0306182746686166,1.16215925372846e-29
"Leucoagaricus sp. SymC.cos",-0.241637184218902,-0.247416210041393,-0.235855255761255,0
"Protomyces lactucaedebilis",-0.128989316672785,-0.143834606942686,-0.114142897299668,7.79126015727824e-65
"Saitoella complicata",0.214734589596603,0.205482132227669,0.223975770822776,0
"Schizosaccharomyces pombe",-0.263325122003078,-0.271140082392789,-0.255510458713638,0
"Pneumocystis murina",-0.443783646539098,-0.453336084379856,-0.434248551616602,0
"Pneumocystis carinii",-0.214568424902055,-0.222935178636131,-0.206201304212909,0
"Yarrowia lipolytica",-0.0637478264585548,-0.0784881062784675,-0.0490650483614462,1.33376304996945e-17
"Sugiyamaella lignohabitans",-0.0579188571087074,-0.0680313559964967,-0.0478147728938815,2.71880724795623e-29
"Lipomyces starkeyi",-0.289469683997027,-0.296807125273274,-0.282181418406019,0
"[Candida] intermedia",-0.122800581333018,-0.131609064941579,-0.113978342454658,3.88134613459017e-164
"Ascoidea rubescens",-0.185110447520898,-0.19349746932988,-0.176753646756181,0
"Cyberlindnera jadinii",-0.0478406592174472,-0.0563825094225793,-0.0392641991996729,8.90260274844182e-28
"Cyberlindnera fabianii",-0.277685303527122,-0.285560810247809,-0.269812147655348,0
"Hanseniaspora uvarum",-0.159545689444936,-0.169317784747135,-0.149747126270852,3.21361647772056e-224
"Hanseniaspora guilliermondii",-0.0990784644060569,-0.106472126111004,-0.091690692118951,9.18792943423788e-153
"Hanseniaspora valbyensis",-0.220653091331968,-0.229068456199758,-0.212221474660712,0
"[Candida] arabinofermentans",-0.295832172776248,-0.303600133171482,-0.288047200619313,0
"Pichia kudriavzevii",-0.32103926425579,-0.329008389543404,-0.313058562743705,0
"Scheffersomyces stipitis",-0.116335438683423,-0.123485548415017,-0.109189499869341,2.98668879530778e-224
"Debaryomyces hansenii",-0.372011790510689,-0.3809539297349,-0.36307487860624,0
"Candida dubliniensis",-0.0082627903586546,-0.0160071708038799,-0.000515231807056663,0.0366102289348314
"Candida maltosa",-0.196736562087316,-0.20431615461518,-0.189159021605558,0
"Candida tropicalis",-0.114716683262997,-0.121938987130416,-0.107492932196133,1.68533782351579e-211
"Candida albicans",0.114724007856701,0.104972220210479,0.124484026166537,5.00292512062917e-118
"[Candida] glabrata",-0.123758520654559,-0.131526886338578,-0.115990530692164,1.05071827855635e-212
"Pachysolen tannophilus",-0.110355948710092,-0.117841980884464,-0.102887157323567,3.01973863191391e-183
"Naumovozyma castellii",-0.130179831680287,-0.139652550277458,-0.120707107823057,4.92720789284007e-159
"Naumovozyma dairenensis",-0.277514137289452,-0.284715576583163,-0.270310698458249,0
"Zygosaccharomyces rouxii",-0.0470366317082778,-0.0588251898605893,-0.0352176320363436,6.03665762163664e-15
"Vanderwaltozyma polyspora",-0.063753408397301,-0.0706580145682146,-0.0568513849404505,3.36130416728223e-73
"Lachancea thermotolerans",-0.140210813855714,-0.151658774787191,-0.128726160410974,1.27750416657962e-126
