Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated Homo_sapiens pair1	decontaminated Homo_sapiens pair2	decontaminated Homo_sapiens orphan1	decontaminated Homo_sapiens orphan2	final pair1	final pair2	final orphan1	final orphan2
CCIS41288781ST-4-0	20807788.0	20807788.0	19929054.0	19929054.0	457913.0	390484.0	19928041.0	19928041.0	458221.0	390728.0	19928041.0	19928041.0	458221.0	390728.0
CCIS41548810ST-4-0	25909920.0	25909920.0	24775293.0	24775293.0	613682.0	481494.0	24770894.0	24770894.0	615102.0	482773.0	24770894.0	24770894.0	615102.0	482773.0
CCIS41692898ST-4-0	35216845.0	35216845.0	33732938.0	33732938.0	884776.0	541377.0	33732767.0	33732767.0	884832.0	541420.0	33732767.0	33732767.0	884832.0	541420.0
CCIS41806458ST-4-0	27606591.0	27606591.0	22277949.0	22277949.0	713886.0	4418893.0	22277780.0	22277780.0	713930.0	4418933.0	22277780.0	22277780.0	713930.0	4418933.0
CCIS44093303ST-4-0	34539245.0	34539245.0	33188032.0	33188032.0	863580.0	438606.0	33188019.0	33188019.0	863585.0	438611.0	33188019.0	33188019.0	863585.0	438611.0
CCIS44676181ST-4-0	19955843.0	19955843.0	19222804.0	19222804.0	370874.0	335729.0	19222749.0	19222749.0	370894.0	335746.0	19222749.0	19222749.0	370894.0	335746.0
CCIS44743950ST-4-0	38044446.0	38044446.0	31214007.0	31214007.0	955829.0	5638165.0	31213373.0	31213373.0	955982.0	5638304.0	31213373.0	31213373.0	955982.0	5638304.0
CCIS44757994ST-4-0	22702296.0	22702296.0	21439394.0	21439394.0	645952.0	571660.0	21427756.0	21427756.0	649548.0	574887.0	21427756.0	21427756.0	649548.0	574887.0
CCIS45571137ST-3-0	15000419.0	15000419.0	12724388.0	12724388.0	547375.0	1581695.0	12723258.0	12723258.0	547702.0	1582154.0	12723258.0	12723258.0	547702.0	1582154.0
CCIS45793747ST-4-0	39708809.0	39708809.0	38163741.0	38163741.0	764284.0	727097.0	38163651.0	38163651.0	764314.0	727132.0	38163651.0	38163651.0	764314.0	727132.0
CCIS46047672ST-4-0	18277769.0	18277769.0	16608989.0	16608989.0	831642.0	745551.0	16604439.0	16604439.0	833023.0	746839.0	16604439.0	16604439.0	833023.0	746839.0
CCIS46467422ST-4-0	5534486.0	5534486.0	5164426.0	5164426.0	199377.0	153037.0	5164036.0	5164036.0	199517.0	153183.0	5164036.0	5164036.0	199517.0	153183.0
CCIS47284573ST-4-0	18352816.0	18352816.0	17309101.0	17309101.0	670053.0	336678.0	17309012.0	17309012.0	670094.0	336712.0	17309012.0	17309012.0	670094.0	336712.0
CCIS47745468ST-4-0	36205688.0	36205688.0	34977067.0	34977067.0	676844.0	510647.0	34976382.0	34976382.0	677012.0	510853.0	34976382.0	34976382.0	677012.0	510853.0
CCIS48174381ST-4-0	24187553.0	24187553.0	23249778.0	23249778.0	569002.0	336893.0	23249689.0	23249689.0	569041.0	336924.0	23249689.0	23249689.0	569041.0	336924.0
CCIS48507077ST-4-0	26359362.0	26359362.0	21166850.0	21166850.0	660077.0	4346593.0	21166791.0	21166791.0	660097.0	4346608.0	21166791.0	21166791.0	660097.0	4346608.0
CCIS48579360ST-4-0	10676683.0	10676683.0	9444231.0	9444231.0	878039.0	305420.0	9443998.0	9443998.0	878104.0	305493.0	9443998.0	9443998.0	878104.0	305493.0
CCIS48725289ST-4-0	15677334.0	15677334.0	14479512.0	14479512.0	640197.0	497176.0	14479310.0	14479310.0	640258.0	497254.0	14479310.0	14479310.0	640258.0	497254.0
CCIS50003399ST-4-0	29725483.0	29725483.0	28479500.0	28479500.0	779976.0	423696.0	28479374.0	28479374.0	780015.0	423743.0	28479374.0	28479374.0	780015.0	423743.0
CCIS50148151ST-4-0	24166049.0	24166049.0	22591009.0	22591009.0	601924.0	904188.0	22586851.0	22586851.0	603105.0	905405.0	22586851.0	22586851.0	603105.0	905405.0
CCIS50369211ST-20-0	9842615.0	9842615.0	9413380.0	9413380.0	241579.0	167378.0	9413245.0	9413245.0	241627.0	167440.0	9413245.0	9413245.0	241627.0	167440.0
CCIS50471204ST-4-0	38401964.0	38401964.0	36819552.0	36819552.0	997787.0	531972.0	36819216.0	36819216.0	997931.0	532130.0	36819216.0	36819216.0	997931.0	532130.0
CCIS50561855ST-4-0	14986182.0	14986182.0	13782576.0	13782576.0	325779.0	833718.0	13782513.0	13782513.0	325800.0	833735.0	13782513.0	13782513.0	325800.0	833735.0
CCIS51595129ST-4-0	27642810.0	27642810.0	26375355.0	26375355.0	818651.0	402575.0	26375155.0	26375155.0	818718.0	402659.0	26375155.0	26375155.0	818718.0	402659.0
CCIS51667829ST-4-0	35840774.0	35840774.0	33472767.0	33472767.0	1195919.0	1070244.0	33472435.0	33472435.0	1196016.0	1070324.0	33472435.0	33472435.0	1196016.0	1070324.0
CCIS52234160ST-4-0	22346644.0	22346644.0	20569930.0	20569930.0	861814.0	822317.0	20569161.0	20569161.0	862131.0	822597.0	20569161.0	20569161.0	862131.0	822597.0
CCIS52370277ST-4-0	26193276.0	26193276.0	24717320.0	24717320.0	963966.0	461254.0	24715830.0	24715830.0	964492.0	461755.0	24715830.0	24715830.0	964492.0	461755.0
CCIS53043478ST-4-0	17962548.0	17962548.0	16452088.0	16452088.0	784928.0	645414.0	16451065.0	16451065.0	785160.0	645674.0	16451065.0	16451065.0	785160.0	645674.0
CCIS53355328ST-4-0	17433179.0	17433179.0	16029723.0	16029723.0	638424.0	690597.0	16026522.0	16026522.0	639200.0	691343.0	16026522.0	16026522.0	639200.0	691343.0
CCIS53557295ST-4-0	14671389.0	14671389.0	13822499.0	13822499.0	512649.0	303848.0	13822421.0	13822421.0	512685.0	303870.0	13822421.0	13822421.0	512685.0	303870.0
CCIS54027808ST-4-0	22030805.0	22030805.0	20882523.0	20882523.0	760506.0	349116.0	20882459.0	20882459.0	760528.0	349148.0	20882459.0	20882459.0	760528.0	349148.0
CCIS55230578ST-4-0	27804303.0	27804303.0	22269656.0	22269656.0	915560.0	4377339.0	22269206.0	22269206.0	915681.0	4377447.0	22269206.0	22269206.0	915681.0	4377447.0
CCIS55531770ST-4-0	6745142.0	6745142.0	5915085.0	5915085.0	548596.0	244938.0	5914821.0	5914821.0	548671.0	245010.0	5914821.0	5914821.0	548671.0	245010.0
CCIS56503244ST-3-0	13595352.0	13595352.0	12433446.0	12433446.0	465519.0	638900.0	12432040.0	12432040.0	465930.0	639345.0	12432040.0	12432040.0	465930.0	639345.0
CCIS58234805ST-4-0	11012918.0	11012918.0	10350626.0	10350626.0	303392.0	327355.0	9997504.0	9997504.0	377252.0	392527.0	9997504.0	9997504.0	377252.0	392527.0
CCIS59132091ST-4-0	47653407.0	47653407.0	45543749.0	45543749.0	1155336.0	882250.0	45543613.0	45543613.0	1155380.0	882281.0	45543613.0	45543613.0	1155380.0	882281.0
CCIS59903910ST-4-0	24858698.0	24858698.0	23122436.0	23122436.0	898345.0	753625.0	23120536.0	23120536.0	898873.0	754252.0	23120536.0	23120536.0	898873.0	754252.0
CCIS61287323ST-4-0	35663674.0	35663674.0	28775644.0	28775644.0	1040744.0	5573673.0	28771723.0	28771723.0	1041708.0	5574562.0	28771723.0	28771723.0	1041708.0	5574562.0
CCIS62605362ST-3-0	58613057.0	58613057.0	54090182.0	54090182.0	1587990.0	2710840.0	54088720.0	54088720.0	1588604.0	2711535.0	54088720.0	54088720.0	1588604.0	2711535.0
CCIS62794166ST-4-0	18137582.0	18137582.0	16955899.0	16955899.0	771154.0	367406.0	16954936.0	16954936.0	771504.0	367728.0	16954936.0	16954936.0	771504.0	367728.0
CCIS63448910ST-4-0	29010067.0	29010067.0	27880095.0	27880095.0	709697.0	382424.0	27879586.0	27879586.0	709874.0	382628.0	27879586.0	27879586.0	709874.0	382628.0
CCIS63468405ST-4-0	31230015.0	31230015.0	29736786.0	29736786.0	970596.0	467819.0	29736545.0	29736545.0	970651.0	467895.0	29736545.0	29736545.0	970651.0	467895.0
CCIS63910149ST-4-0	7403037.0	7403037.0	6515877.0	6515877.0	632592.0	217844.0	6509468.0	6509468.0	633689.0	219270.0	6509468.0	6509468.0	633689.0	219270.0
