"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Streptococcus sp. I-G2","Pneumocystis murina",0.075531804932769,0.108002419130745,0.119262842754059,0.0256684963515741,0.618377104703194,0.536326786393076,0.457333333333333,0.566090605951261,"0/+"
"Pseudobutyrivibrio xylanivorans","Leucoagaricus sp. SymC.cos",0.13175173422328,0.00492653954750244,0.0882218381163708,0.099395877919787,-0.617159990409418,0.537129202751213,0.45809009009009,0.566090605951261,"+/0"
"Fusobacterium periodonticum","Pichia kudriavzevii",-0.015122266476839,0.747949414388513,0.0288491376319607,0.590646655836792,0.615903059564115,0.537958502142381,0.459027027027027,0.566090605951261,"0/0"
"Streptococcus sp. A12","Edhazardia aedis",0.113582912485783,0.0154646401134011,0.0699911066231074,0.191439662892722,-0.615747306916462,0.538061309556835,0.459027027027027,0.566090605951261,"+/0"
"Streptococcus salivarius","Moniliophthora perniciosa",-0.0315116218884759,0.503022165910303,0.0124081562044712,0.81707100192252,0.615206877848751,0.538418106205556,0.459315315315315,0.566090605951261,"0/0"
"Streptococcus sp. HSISS1","Rhizophagus clarus",0.0983043774326853,0.0362690597676647,0.0547683209631415,0.306911970480974,-0.613370364492323,0.539631476874744,0.46036036036036,0.566470236968952,"+/0"
"Bifidobacterium adolescentis","Phytopythium vexans",0.0197976443088953,0.673965257338608,0.0634918081600484,0.236108611738693,0.613053745798777,0.539840802765373,0.460504504504505,0.566470236968952,"0/0"
"Bifidobacterium angulatum","Paracoccidioides brasiliensis",-0.0217350951888878,0.644157682063793,0.0218679209076237,0.683496449508362,0.610712652348407,0.541389828362981,0.462198198198198,0.566470236968952,"0/0"
"Streptococcus sp. A12","Debaryomyces hansenii",-0.0104420031057872,0.824404710007039,0.0329270752605508,0.539233815114981,0.607511886679106,0.543511256588771,0.46381981981982,0.566470236968952,"0/0"
"Streptococcus sp. JS71","Lipomyces starkeyi",0.10743671215854,0.0220501340389285,0.0643929934570677,0.229510596412943,-0.607363233271825,0.543609882687821,0.464,0.566470236968952,"+/0"
"Streptococcus sp. A12","Aspergillus ochraceoroseus",0.0522075748828642,0.266959515688554,0.00892148964762745,0.867911403961463,-0.606839607215461,0.543957360345879,0.464324324324324,0.566470236968952,"0/0"
"Ruminococcus bicirculans","Lipomyces starkeyi",0.0146456975799236,0.755636174615101,0.0578997183371166,0.280037089613502,0.606621780652487,0.54410194233452,0.464468468468468,0.566470236968952,"0/0"
"Dialister pneumosintes","Aspergillus kawachii",-0.00184232898562122,0.968773327197428,0.0414023636254417,0.440038880410289,0.605929581458154,0.544561515106469,0.464972972972973,0.566470236968952,"0/0"
"Streptococcus sp. FDAARGOS 192","Pneumocystis murina",-0.00425508204092083,0.927957697293433,0.038664643577765,0.47089028264595,0.601317511802545,0.547628528022402,0.467135135135135,0.566470236968952,"0/0"
"Butyrivibrio proteoclasticus","Aspergillus kawachii",0.0104004437755692,0.825092292564305,-0.0325237503047333,0.54421766781962,-0.601275616193733,0.547656427581568,0.467135135135135,0.566470236968952,"0/0"
"Anaerostipes hadrus","Trichoderma atroviride",0.0744722266805158,0.113051133755208,0.0317295500109916,0.554097710031947,-0.600352964531918,0.54827102747997,0.467675675675676,0.566470236968952,"0/0"
"Streptococcus sp. HSISS2","Leucoagaricus sp. SymC.cos",0.0133615036530164,0.776467807522147,0.0561534948697744,0.294820914696131,0.600075265509108,0.548456075994019,0.467891891891892,0.566470236968952,"0/0"
"Adlercreutzia equolifaciens","Paracoccidioides brasiliensis",0.0564723645412832,0.229784718274695,0.013767272118113,0.797446763630656,-0.598871496195842,0.549258580483,0.468864864864865,0.566470236968952,"0/0"
"Lactococcus garvieae","Pseudocercospora musae",0.0151854523389316,0.746932119475418,0.0577926333394335,0.280928990099162,0.59755673093687,0.550135742711683,0.469621621621622,0.566470236968952,"0/0"
