"Gene1","Gene2","adenoma_cor","adenoma_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Gemella morbillorum","Erysiphe pulchra",-0.0336864652430463,0.529912310833982,0.0995436013573093,0.0225447798453662,1.92846008717212,0.0537979241622325,0.0947916666666667,0.764299505394499,"0/+"
"Roseburia intestinalis","Rhizophagus irregularis",0.192288996877439,0.000296484934300345,0.0613511791022418,0.160407012429569,-1.92428861629027,0.0543184166855112,0.0950892857142857,0.764299505394499,"+/0"
"Roseburia intestinalis","Colletotrichum salicis",0.0755049869771334,0.158678945113017,-0.0575495104665612,0.187981711948556,-1.92396367431726,0.0543591368971458,0.0950892857142857,0.764299505394499,"0/0"
"Bifidobacterium bifidum","Pichia kudriavzevii",0.122228119406336,0.0221911410671858,-0.009534679002934,0.827467160968188,-1.91118873137278,0.0559803314800012,0.0964285714285714,0.764299505394499,"+/0"
"Ruminococcus bicirculans","Edhazardia aedis",-0.0572992435827793,0.285063173907748,0.0741332074634013,0.0897170857236986,1.90042203393183,0.0573777576324243,0.0975198412698413,0.764299505394499,"0/0"
"Clostridium beijerinckii","Aspergillus ochraceoroseus",0.161832231175483,0.00239091927826807,0.031832028001523,0.46673029634575,-1.89743793882693,0.0577701624089042,0.0978174603174603,0.764299505394499,"+/0"
"Escherichia coli","Colletotrichum salicis",0.2424825643321,4.45651578973028e-06,0.117422999063119,0.00707253815055564,-1.86882363073457,0.0616473560592069,0.100595238095238,0.764299505394499,"+/+"
"Bifidobacterium adolescentis","Trichoderma atroviride",0.0469684588570766,0.381008510059847,0.174557633258483,5.79524729800163e-05,1.8676365405997,0.0618127495278943,0.100843253968254,0.764299505394499,"0/+"
"Bifidobacterium angulatum","Thielaviopsis punctulata",0.0916395464850468,0.0869170059226172,-0.0366620026418239,0.401855728460231,-1.8563051833968,0.0634100706959387,0.101736111111111,0.764299505394499,"0/0"
"Romboutsia ilealis","[Candida] arabinofermentans",-0.0306667036919604,0.567455026384696,0.0971930151199957,0.0259514044035392,1.85054920630693,0.0642344328275932,0.102281746031746,0.764299505394499,"0/+"
"Porphyromonas asaccharolytica","Baudoinia panamericana",-0.0823097801905533,0.124299340538777,0.0455880137821596,0.29713128257259,1.84966745512295,0.0643614939462594,0.102331349206349,0.764299505394499,"0/0"
"Lactobacillus ruminis","Colletotrichum fioriniae",0.130275570938262,0.0147313775228535,0.00633751209172569,0.884816686911094,-1.80009676436296,0.0718453604328779,0.108630952380952,0.764299505394499,"+/0"
"Parvimonas micra","Pneumocystis murina",0.20035571460256,0.000161146121461897,0.079021049780006,0.0704333233733079,-1.78904345695546,0.073607817164521,0.110416666666667,0.764299505394499,"+/0"
"Fusobacterium nucleatum","Paracoccidioides brasiliensis",-0.0145549907258165,0.786130144934678,0.10803802596447,0.013256054439359,1.77605539234413,0.0757237876282881,0.111855158730159,0.764299505394499,"0/+"
