"Gene1","Gene2","CRC_cor","CRC_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Butyrivibrio proteoclasticus","Rhizophagus irregularis",0.242158758467905,1.7560751741641e-07,0.0674483258404237,0.122707149523522,-2.79234010270404,0.00523283230310404,0.0519279279279279,0.469841603301475,"+/0"
"Streptococcus sp. I-G2","Naumovozyma dairenensis",0.174913545221413,0.000179984156509549,-0.00211082071896309,0.961517200536972,-2.78186334975228,0.00540477919490215,0.0522522522522523,0.469841603301475,"+/0"
"Parvimonas micra","Erysiphe pulchra",0.295360777295601,1.36488154112158e-10,0.125021188605831,0.00411730606235405,-2.78044629926562,0.00542842370602598,0.0522882882882883,0.469841603301475,"+/+"
"Romboutsia ilealis","Pseudocercospora musae",0.182256275131529,9.40552467709743e-05,0.00589634851172935,0.892784662162537,-2.77529019571991,0.0055152471375471,0.0524324324324324,0.469841603301475,"+/0"
"Brachyspira pilosicoli","Coniochaeta ligniaria",0.139068830699011,0.00298332447271576,-0.0373849818829642,0.392631616942503,-2.75910142119673,0.00579605435415196,0.0531171171171171,0.469841603301475,"+/0"
"Clostridium beijerinckii","[Candida] arabinofermentans",0.256947007230552,2.80400014318616e-08,0.0879530246690968,0.0439719024911573,-2.7167553188137,0.00659253251681634,0.0545225225225225,0.469841603301475,"+/+"
"Streptococcus equinus","Lipomyces starkeyi",0.13411326451748,0.00420110017997644,-0.0390701037993491,0.371634489638124,-2.70680269845701,0.0067934618606051,0.0546666666666667,0.469841603301475,"+/0"
"Streptococcus equinus","Pichia kudriavzevii",0.191117994389326,4.15262298871788e-05,0.0216810256969611,0.620142162395601,-2.67253122106316,0.0075281368843467,0.0559279279279279,0.469841603301475,"+/0"
"Streptococcus salivarius","Albugo candida",0.218533918360317,2.59577779115894e-06,0.0516755690289962,0.237204255487256,-2.65046618562738,0.00803807731009745,0.0568648648648649,0.469841603301475,"+/0"
"Fusobacterium periodonticum","Rhizophagus clarus",-0.075565202545232,0.107846225331242,0.0941842510460027,0.030952196729445,2.64703509561488,0.00812009253484779,0.0569369369369369,0.469841603301475,"0/+"
"Fusobacterium nucleatum","Rhizophagus irregularis",-0.0805920716041647,0.0862985740877491,0.0891297483435346,0.041209523168396,2.64641875616667,0.00813490434574835,0.056972972972973,0.469841603301475,"0/+"
"Prevotella intermedia","Tuber magnatum",-0.0321455443122121,0.494466360147928,-0.199552563036683,4.0685477369351e-06,-2.64604164788147,0.00814397889687891,0.056972972972973,0.469841603301475,"0/-"
"Longibaculum sp. KGMB06250","Rhizophagus clarus",0.264400246359915,1.06381827791324e-08,0.100775822384368,0.0209190496728957,-2.63989041263507,0.00829328395138598,0.0572612612612613,0.469841603301475,"+/+"
"Parvimonas micra","Tuber magnatum",-0.100626470626241,0.0320642558319231,0.0670172528921569,0.125122525411105,2.61456085182102,0.00893422441049675,0.0582342342342342,0.469841603301475,"-/0"
"Fusobacterium nucleatum","Paracoccidioides brasiliensis",-0.0590210361986431,0.209404336048906,0.10803802596447,0.013256054439359,2.60623917804599,0.00915425135043849,0.0586306306306306,0.469841603301475,"0/+"
"Pseudobutyrivibrio xylanivorans","Albugo candida",0.292196215609638,2.18420836972655e-10,0.133227288407571,0.00222083398469985,-2.59676202203841,0.00941070991178487,0.059027027027027,0.469841603301475,"+/+"
"Fusobacterium nucleatum","Tuber magnatum",-0.0870564057055635,0.0638334784988066,0.0793777963629537,0.0691701173138348,2.59490633843018,0.00946166987829967,0.0590990990990991,0.469841603301475,"0/0"
"Butyrivibrio proteoclasticus","Albugo candida",0.269918754220333,5.09009989713149e-09,0.10958922660926,0.0119848116244121,-2.59370201422302,0.00949487405853439,0.0590990990990991,0.469841603301475,"+/+"
"Streptococcus sp. HSISS2","Lipomyces starkeyi",0.151020386883221,0.00124880560436624,-0.0143050254119835,0.743664268340928,-2.58974196935885,0.00960478952405607,0.0592792792792793,0.469841603301475,"+/0"
"Lactobacillus ruminis","Naumovozyma dairenensis",0.157420361352934,0.000762772307449033,-0.00745961816733871,0.864604120495186,-2.58522607021768,0.0097315166679122,0.0595315315315315,0.469841603301475,"+/0"
"Streptococcus sp. JS71","Tuber magnatum",0.179001955793763,0.000125797651662651,0.0148172722828115,0.734823897792342,-2.58418240277719,0.00976101568914347,0.0596036036036036,0.469841603301475,"+/0"
"Streptococcus sp. I-G2","Tuber magnatum",0.178083156729599,0.000136436960825659,0.0139681248027189,0.749497012576218,-2.5826311279663,0.009805009382424,0.0596036036036036,0.469841603301475,"+/0"
"[Eubacterium] eligens","Pichia kudriavzevii",0.237551596602145,3.03741357843279e-07,0.0769398051793864,0.0781839253199021,-2.56788783464274,0.0102320258270721,0.0601081081081081,0.469841603301475,"+/0"
"Gemella morbillorum","Baudoinia panamericana",-0.0436769908856748,0.353140353945355,0.120696593660464,0.00562210340120406,2.56644355299476,0.0102747346972425,0.0601081081081081,0.469841603301475,"0/+"
"Romboutsia ilealis","Naumovozyma dairenensis",0.177695782789762,0.000141171039756749,0.0147565361994704,0.735870280085052,-2.56414247083971,0.0103431078711636,0.0602162162162162,0.469841603301475,"+/0"
"Romboutsia ilealis","Pichia kudriavzevii",0.374952091635733,0,0.225451957032054,1.78148161555924e-07,-2.56314003361141,0.0103730201837454,0.0602162162162162,0.469841603301475,"+/+"
