"","Cohort","Feature","Seed","AUC","MeanAUC","Kingdoms"
"241","2014_ZellerG","Pyricularia_pennisetigena","9","45.83",48.44,"fungi"
"242","2014_ZellerG","Coniella_lustricola","10","54.41",54.88,"fungi"
"243","2014_ZellerG","Valsa_mali","4","58.8",52.13,"fungi"
"244","2014_ZellerG","Diaporthe_ampelina","10","50.95",51.34,"fungi"
"245","2014_ZellerG","Diaporthe_helianthi","1","46.96",49.7,"fungi"
"246","2014_ZellerG","Grosmannia_clavigera","9","44.69",46.87,"fungi"
"247","2014_ZellerG","Ophiostoma_piceae","9","53.8",50.88,"fungi"
"248","2014_ZellerG","Sporothrix_brasiliensis","4","54.98",51.28,"fungi"
"249","2014_ZellerG","Sporothrix_insectorum","4","49.91",54.67,"fungi"
"250","2014_ZellerG","Podospora_anserina","2","51.38",51.44,"fungi"
"251","2014_ZellerG","Sordaria_macrospora","1","44.76",52.71,"fungi"
"252","2014_ZellerG","Neurospora_tetrasperma","2","51.09",48.17,"fungi"
"253","2014_ZellerG","Neurospora_crassa","3","47.41",51.43,"fungi"
"254","2014_ZellerG","Chaetomium_thermophilum","6","43.69",38.48,"fungi"
"255","2014_ZellerG","Chaetomium_globosum","7","66.18",53.86,"fungi"
"256","2014_ZellerG","Thermothelomyces_thermophilus","8","48.15",53.05,"fungi"
"257","2014_ZellerG","Thielavia_terrestris","2","48.43",52.25,"fungi"
"258","2014_ZellerG","Thielaviopsis_punctulata","10","48.55",58.46,"fungi"
"259","2014_ZellerG","Ceratocystis_platani","7","39.47",45.72,"fungi"
"260","2014_ZellerG","Verticillium_alfalfae","6","44.97",51.83,"fungi"
"261","2014_ZellerG","Verticillium_longisporum","1","43.64",49.22,"fungi"
"262","2014_ZellerG","Colletotrichum_incanum","6","43.95",53.48,"fungi"
"263","2014_ZellerG","Colletotrichum_nymphaeae","6","54.51",51.98,"fungi"
"264","2014_ZellerG","Colletotrichum_higginsianum","10","54.65",49.84,"fungi"
"265","2014_ZellerG","Colletotrichum_gloeosporioides","9","50.97",48.91,"fungi"
"266","2014_ZellerG","Colletotrichum_simmondsii","6","55.79",46.09,"fungi"
"267","2014_ZellerG","Colletotrichum_chlorophyti","6","48.32",54.15,"fungi"
"268","2014_ZellerG","Colletotrichum_tofieldiae","4","43.07",47.68,"fungi"
"269","2014_ZellerG","Colletotrichum_salicis","6","46.51",51.16,"fungi"
"270","2014_ZellerG","Colletotrichum_fioriniae","5","49.12",55.53,"fungi"
"271","2014_ZellerG","Stachybotrys_chartarum","10","41.67",45.99,"fungi"
"272","2014_ZellerG","Ustilaginoidea_virens","1","43.48",49.67,"fungi"
"273","2014_ZellerG","Beauveria_bassiana","2","51",52.27,"fungi"
"274","2014_ZellerG","Cordyceps_fumosorosea","5","47.79",49.3,"fungi"
"275","2014_ZellerG","Cordyceps_militaris","9","50.33",51.05,"fungi"
"276","2014_ZellerG","Cordyceps_sp_RAO_2017","8","55.86",55.45,"fungi"
"277","2014_ZellerG","Cordyceps_confragosa","8","49.34",49.86,"fungi"
"278","2014_ZellerG","Tolypocladium_ophioglossoides","10","44.24",46.02,"fungi"
"279","2014_ZellerG","Tolypocladium_paradoxum","5","55.67",51.54,"fungi"
"280","2014_ZellerG","Ophiocordyceps_australis","10","48.2",45.22,"fungi"
"281","2014_ZellerG","Ophiocordyceps_sinensis","9","52.8",50.89,"fungi"
"282","2014_ZellerG","Pochonia_chlamydosporia","4","44.97",52.73,"fungi"
"283","2014_ZellerG","Metarhizium_acridum","1","54.06",49.88,"fungi"
"284","2014_ZellerG","Metarhizium_anisopliae","7","48.32",53.22,"fungi"
"285","2014_ZellerG","Metarhizium_rileyi","3","57.23",50.89,"fungi"
"286","2014_ZellerG","Metarhizium_album","1","52.7",47.93,"fungi"
"287","2014_ZellerG","Escovopsis_weberi","5","44.14",51.37,"fungi"
"288","2014_ZellerG","Trichoderma_asperellum","8","42.15",46.84,"fungi"
"289","2014_ZellerG","Trichoderma_reesei","3","61.24",53.93,"fungi"
"290","2014_ZellerG","Trichoderma_guizhouense","3","51.59",52.85,"fungi"
"291","2014_ZellerG","Trichoderma_atroviride","2","57.8",50.14,"fungi"
"292","2014_ZellerG","Neonectria_ditissima","6","52.32",50.84,"fungi"
"293","2014_ZellerG","Fusarium_verticillioides","10","37.93",43.3,"fungi"
"294","2014_ZellerG","Fusarium_oxysporum","2","51.35",53.17,"fungi"
"295","2014_ZellerG","Fusarium_pseudograminearum","10","45.71",49.03,"fungi"
